Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
우주 그루브 상징,A,4.06,-0.26,18.8%,24467,4.8%,리븐 | 쉔 | 진 | 누누와 윌럼프 | 일라오이
여행자 상징,A,3.99,-0.24,17.7%,10614,2.1%,일라오이 | 모데카이저 | 바드 | 우르곳 | 블리츠크랭크
시간 균열자 상징,B,4.19,-0.16,16.8%,8182,1.6%,진 | 탐 켄치 | 블리츠크랭크 | 자야 | 모데카이저
길잡이 상징,B,4.18,-0.15,15.0%,7605,1.5%,카르마 | 모데카이저 | 레오나 | 블리츠크랭크 | 바드
선봉대 상징,B,4.25,-0.15,14.7%,12319,2.4%,꼬마 정령 | 오른 | 탐 켄치 | 초가스 | 람머스
불한당 상징,B,4.23,-0.15,14.6%,9243,1.8%,라아스트 | 카르마 | 진 | 피오라 | 코르키
습격자 상징,B,4.26,-0.13,16.1%,7437,1.5%,킨드레드 | 그레이브즈 | 브라이어 | 리븐 | 쉔
N.O.V.A. 상징,B,4.37,-0.12,13.0%,27960,5.5%,마스터 이 | 피오라 | 그레이브즈 | 벨베스 | 우르곳
싸움꾼 상징,B,4.34,-0.11,14.1%,9683,1.9%,모데카이저 | 거대 메크 로봇 | 아트록스 | 누누와 윌럼프 | 람머스
암흑의 별 상징,C,4.35,-0.10,14.3%,8602,1.7%,자야 | 탐 켄치 | 블리츠크랭크 | 리븐 | 그레이브즈
요새 상징,C,4.38,-0.09,13.6%,10319,2.0%,꼬마 정령 | 마오카이 | 누누와 윌럼프 | 탐 켄치 | 블리츠크랭크
태고족 상징,C,4.36,-0.08,12.8%,4628,0.9%,마오카이 | 모데카이저 | 일라오이 | 탐 켄치 | 아트록스
초능력 상징,C,4.48,-0.05,11.7%,7676,1.5%,모데카이저 | 피오라 | 라아스트 | 탐 켄치 | 우르곳
별돌보미 상징,C,4.53,-0.04,12.8%,18299,3.6%,리븐 | 진 | 쉔 | 블리츠크랭크 | 아트록스
정령족 상징,C,4.53,-0.04,15.4%,9939,1.9%,쉔 | 리븐 | 오른 | 거대 메크 로봇 | 블리츠크랭크
저격수 상징,D,4.67,+0.02,11.8%,6380,1.2%,카이사 | 코르키 | 그레이브즈 | 나미 | 티모
도전자 상징,D,4.67,+0.02,11.2%,7448,1.5%,피오라 | 마스터 이 | 그레이브즈 | 르블랑 | 아칼리
중재자 상징,D,4.80,+0.06,9.8%,6839,1.3%,일라오이 | 모데카이저 | 누누와 윌럼프 | 카르마 | 꼬마 정령
동물특공대 상징,D,5.33,+0.22,9.9%,4486,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
