Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.35,13.9%,3026205,44.0%,우르곳 | 벡스 | 벨베스 | 진 | 자야
가고일 돌갑옷,S,4.34,-0.33,13.3%,3375731,49.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 레오나 | 잭스
워모그의 갑옷,A,4.21,-0.30,14.3%,2582615,37.5%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
태양불꽃 망토,A,4.32,-0.29,13.6%,2989213,43.4%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
수호자의 맹세,A,4.13,-0.27,16.4%,2147662,31.2%,누누와 윌럼프 | 람머스 | 마오카이 | 탐 켄치 | 라아스트
보석 건틀릿,A,4.33,-0.27,13.0%,2760777,40.1%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
구인수의 격노검,A,4.49,-0.26,13.4%,3585498,52.1%,자야 | 벡스 | 킨드레드 | 르블랑 | 티모
정령의 형상,A,4.26,-0.26,13.9%,2384623,34.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
도적의 장갑,A,4.11,-0.23,15.4%,1785099,25.9%,블리츠크랭크 | 라아스트 | 쉔 | 모데카이저 | 일라오이
쇼진의 창,A,4.24,-0.23,13.7%,2092515,30.4%,나미 | 카르마 | 오로라 | 바드 | 사미라
무한의 대검,A,4.38,-0.23,14.4%,2523156,36.6%,자야 | 진 | 우르곳 | 카이사 | 사미라
공허의 지팡이,A,4.04,-0.20,15.4%,1471443,21.4%,나미 | 카르마 | 바드 | 리산드라 | 아우렐리온 솔
적응형 투구,B,3.94,-0.20,17.0%,1276563,18.5%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.18,-0.19,14.2%,1563881,22.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
라바돈의 죽음모자,B,4.07,-0.18,14.6%,1352582,19.6%,트위스티드 페이트 | 빅토르 | 아우렐리온 솔 | 오로라 | 벡스
타격대의 철퇴,B,4.05,-0.18,15.6%,1319068,19.2%,진 | 코르키 | 벡스 | 나미 | 카이사
굳건한 심장,B,3.97,-0.17,15.8%,1144594,16.6%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 라아스트
정의의 손길,B,4.13,-0.17,14.0%,1351809,19.6%,피오라 | 블리츠크랭크 | 아칼리 | 리븐 | 피즈
크라운가드,B,3.86,-0.17,16.8%,1010028,14.7%,누누와 윌럼프 | 람머스 | 잭스 | 블리츠크랭크 | 탐 켄치
덤불 조끼,B,3.97,-0.16,15.3%,1093246,15.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
밤의 끝자락,B,4.06,-0.15,15.0%,1090120,15.8%,피오라 | 마스터 이 | 리븐 | 아칼리 | 파이크
내셔의 이빨,B,4.29,-0.15,12.4%,1405873,20.4%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
피바라기,B,4.31,-0.14,13.9%,1433325,20.8%,리븐 | 피오라 | 블리츠크랭크 | 브라이어 | 그레이브즈
수은,B,4.19,-0.14,13.6%,1203448,17.5%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 마스터 이
