Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.21,-0.36,13.8%,3441963,45.0%,우르곳 | 벡스 | 벨베스 | 진 | 티모
가고일 돌갑옷,S,4.33,-0.33,13.3%,3775861,49.4%,누누와 윌럼프 | 레오나 | 거대 메크 로봇 | 람머스 | 잭스
워모그의 갑옷,S,4.21,-0.30,14.4%,2906036,38.0%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
태양불꽃 망토,A,4.32,-0.29,13.7%,3263262,42.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
수호자의 맹세,A,4.14,-0.27,16.5%,2432457,31.8%,누누와 윌럼프 | 람머스 | 마오카이 | 탐 켄치 | 라아스트
보석 건틀릿,A,4.32,-0.27,13.0%,2993235,39.2%,나미 | 빅토르 | 카르마 | 아우렐리온 솔 | 벡스
구인수의 격노검,A,4.49,-0.26,13.4%,3979580,52.1%,자야 | 벡스 | 킨드레드 | 티모 | 르블랑
정령의 형상,A,4.25,-0.25,14.0%,2590321,33.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
무한의 대검,A,4.38,-0.23,14.6%,2885701,37.8%,자야 | 진 | 우르곳 | 카이사 | 사미라
쇼진의 창,A,4.23,-0.23,13.8%,2319788,30.4%,나미 | 카르마 | 오로라 | 바드 | 사미라
도적의 장갑,A,4.11,-0.23,15.4%,1969817,25.8%,블리츠크랭크 | 라아스트 | 모데카이저 | 쉔 | 일라오이
공허의 지팡이,A,4.03,-0.20,15.4%,1590792,20.8%,나미 | 카르마 | 리산드라 | 바드 | 아우렐리온 솔
적응형 투구,B,3.93,-0.19,17.2%,1393944,18.2%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
라바돈의 죽음모자,B,4.08,-0.19,14.4%,1545739,20.2%,트위스티드 페이트 | 빅토르 | 오로라 | 벡스 | 아우렐리온 솔
용의 발톱,B,4.17,-0.18,14.3%,1689657,22.1%,누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치 | 오른
타격대의 철퇴,B,4.04,-0.17,15.7%,1375935,18.0%,진 | 코르키 | 벡스 | 카이사 | 킨드레드
굳건한 심장,B,3.95,-0.17,16.0%,1243257,16.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 라아스트
정의의 손길,B,4.13,-0.17,13.9%,1456718,19.1%,피오라 | 블리츠크랭크 | 아칼리 | 리븐 | 파이크
덤불 조끼,B,3.96,-0.17,15.4%,1218162,15.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
크라운가드,B,3.86,-0.16,16.9%,1099567,14.4%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
저녁갑주,B,4.21,-0.15,15.7%,1421137,18.6%,마오카이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 렉사이
피바라기,B,4.31,-0.15,13.6%,1600659,20.9%,리븐 | 피오라 | 브라이어 | 블리츠크랭크 | 그레이브즈
수은,B,4.21,-0.15,13.3%,1402085,18.3%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 마스터 이
