Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.33,14.2%,1499963,40.2%,벡스 | 르블랑 | 벨베스 | 진 | 킨드레드
가고일 돌갑옷,A,4.37,-0.30,13.3%,1766242,47.3%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
태양불꽃 망토,A,4.35,-0.29,13.3%,1669431,44.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
보석 건틀릿,A,4.37,-0.28,13.3%,1662009,44.5%,나미 | 빅토르 | 아우렐리온 솔 | 벡스 | 카르마
워모그의 갑옷,A,4.22,-0.28,14.2%,1329318,35.6%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
구인수의 격노검,A,4.47,-0.27,13.0%,1935923,51.9%,벡스 | 자야 | 르블랑 | 킨드레드 | 진
정령의 형상,A,4.29,-0.25,13.5%,1332762,35.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
수호자의 맹세,A,4.08,-0.25,16.1%,1014594,27.2%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 잭스
도적의 장갑,A,4.12,-0.24,15.7%,1016376,27.2%,블리츠크랭크 | 쉔 | 모르가나 | 라아스트 | 피오라
공허의 지팡이,A,4.12,-0.22,15.4%,929899,24.9%,나미 | 카르마 | 벡스 | 아우렐리온 솔 | 바드
쇼진의 창,A,4.29,-0.22,13.8%,1131928,30.3%,나미 | 카르마 | 바드 | 사미라 | 코르키
타격대의 철퇴,B,4.10,-0.20,15.4%,827066,22.2%,진 | 벡스 | 코르키 | 그레이브즈 | 카이사
적응형 투구,B,3.95,-0.20,16.6%,691728,18.5%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.23,-0.19,13.6%,938818,25.2%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
정의의 손길,B,4.12,-0.19,14.8%,804262,21.6%,피오라 | 블리츠크랭크 | 아칼리 | 리븐 | 그레이브즈
무한의 대검,B,4.40,-0.18,13.5%,1116121,29.9%,진 | 자야 | 카이사 | 사미라 | 그레이브즈
굳건한 심장,B,4.05,-0.17,15.1%,668135,17.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
밤의 끝자락,B,4.07,-0.17,15.6%,670088,18.0%,피오라 | 마스터 이 | 리븐 | 아칼리 | 파이크
라바돈의 죽음모자,B,4.05,-0.17,15.4%,658678,17.6%,트위스티드 페이트 | 아우렐리온 솔 | 빅토르 | 나미 | 벡스
피바라기,B,4.30,-0.16,14.7%,872158,23.4%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
크라운가드,B,3.88,-0.16,16.8%,546019,14.6%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 일라오이
마법공학 총검,B,4.12,-0.15,15.4%,657878,17.6%,벡스 | 르블랑 | 티모 | 진 | 카르마
내셔의 이빨,B,4.31,-0.15,12.9%,794924,21.3%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
스테락의 도전,B,4.20,-0.15,16.3%,688428,18.4%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
덤불 조끼,B,4.06,-0.15,14.4%,581883,15.6%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
대천사의 지팡이,B,4.22,-0.13,13.6%,635456,17.0%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
죽음의 검,B,4.10,-0.13,15.4%,550806,14.8%,진 | 코르키 | 자야 | 킨드레드 | 그레이브즈
붉은 덩굴정령,B,3.99,-0.12,16.9%,455312,12.2%,자야 | 카르마 | 진 | 벡스 | 나미
모렐로노미콘,B,4.00,-0.12,16.4%,443306,11.9%,카르마 | 바드 | 나미 | 블리츠크랭크 | 모르가나
수은,B,4.15,-0.11,14.7%,502076,13.5%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
크라켄의 분노,B,4.23,-0.11,13.3%,550488,14.8%,자야 | 벨베스 | 킨드레드 | 진 | 케이틀린
이온 충격기,B,4.05,-0.11,15.2%,440525,11.8%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 탐 켄치 | 람머스
최후의 속삭임,B,4.14,-0.10,16.2%,450526,12.1%,진 | 코르키 | 자야 | 사미라 | 킨드레드
거인의 결의,C,4.41,-0.09,14.0%,577869,15.5%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 블리츠크랭크
저녁갑주,C,4.32,-0.09,14.4%,493192,13.2%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
푸른 파수꾼,C,4.22,-0.09,14.2%,427339,11.5%,카르마 | 카이사 | 바드 | 코르키 | 나미
여신의 눈물,C,4.70,-0.01,10.6%,145325,3.9%,바드 | 카르마 | 누누와 윌럼프 | 모르가나 | 블리츠크랭크
쇠사슬 조끼,C,4.77,-0.01,10.3%,145001,3.9%,누누와 윌럼프 | 탐 켄치 | 람머스 | 모데카이저 | 일라오이
음전자 망토,C,4.78,-0.01,10.2%,147091,3.9%,일라오이 | 누누와 윌럼프 | 모데카이저 | 탐 켄치 | 람머스
거인의 허리띠,C,4.84,-0.01,10.0%,190831,5.1%,누누와 윌럼프 | 탐 켄치 | 일라오이 | 람머스 | 모데카이저
쓸데없이 큰 지팡이,C,4.81,-0.01,10.0%,146232,3.9%,카르마 | 바드 | 블리츠크랭크 | 리산드라 | 모르가나
곡궁,C,4.84,-0.01,9.8%,156506,4.2%,카르마 | 바드 | 리산드라 | 진 | 킨드레드
연습용 장갑,C,4.82,-0.01,9.5%,126391,3.4%,카르마 | 블리츠크랭크 | 진 | 바드 | 피오라
B.F. 대검,C,4.90,-0.00,9.3%,137768,3.7%,진 | 파이크 | 피오라 | 리븐 | 케이틀린
프라이팬,D,5.63,+0.00,5.9%,945,0.0%,라아스트 | 꼬마 정령 | 카르마 | 모데카이저 | 오른
뒤집개,D,5.99,+0.26,4.6%,4518,0.1%,리븐 | 카르마 | 리산드라 | 블리츠크랭크 | 바드
