Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.34,14.0%,2435453,41.9%,벡스 | 벨베스 | 진 | 우르곳 | 르블랑
가고일 돌갑옷,S,4.35,-0.32,13.3%,2840257,48.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
태양불꽃 망토,A,4.34,-0.29,13.5%,2574152,44.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
워모그의 갑옷,A,4.21,-0.29,14.3%,2155112,37.1%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
보석 건틀릿,A,4.34,-0.28,13.1%,2430123,41.8%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
구인수의 격노검,A,4.49,-0.27,13.2%,3063705,52.7%,자야 | 벡스 | 킨드레드 | 르블랑 | 티모
수호자의 맹세,A,4.11,-0.26,16.4%,1710182,29.4%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
정령의 형상,A,4.27,-0.26,13.8%,2056270,35.4%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
도적의 장갑,A,4.12,-0.23,15.5%,1530534,26.3%,블리츠크랭크 | 쉔 | 라아스트 | 모데카이저 | 모르가나
쇼진의 창,A,4.26,-0.22,13.6%,1775079,30.5%,나미 | 카르마 | 바드 | 사미라 | 코르키
무한의 대검,A,4.39,-0.21,14.3%,1990551,34.2%,자야 | 진 | 카이사 | 우르곳 | 사미라
공허의 지팡이,A,4.07,-0.21,15.4%,1309453,22.5%,나미 | 카르마 | 바드 | 아우렐리온 솔 | 리산드라
적응형 투구,B,3.94,-0.20,16.8%,1078381,18.5%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.20,-0.19,14.0%,1396201,24.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
타격대의 철퇴,B,4.08,-0.19,15.5%,1199544,20.6%,진 | 코르키 | 벡스 | 그레이브즈 | 나미
정의의 손길,B,4.12,-0.18,14.3%,1188297,20.4%,피오라 | 아칼리 | 블리츠크랭크 | 리븐 | 그레이브즈
라바돈의 죽음모자,B,4.06,-0.18,14.9%,1096617,18.9%,트위스티드 페이트 | 빅토르 | 아우렐리온 솔 | 나미 | 벡스
굳건한 심장,B,3.99,-0.17,15.6%,995930,17.1%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
크라운가드,B,3.85,-0.17,16.9%,841481,14.5%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 잭스 | 탐 켄치
밤의 끝자락,B,4.05,-0.16,15.2%,971883,16.7%,피오라 | 리븐 | 마스터 이 | 아칼리 | 파이크
덤불 조끼,B,4.01,-0.16,15.0%,921545,15.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
피바라기,B,4.31,-0.15,14.2%,1247054,21.4%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
내셔의 이빨,B,4.29,-0.15,12.5%,1217856,20.9%,나미 | 트위스티드 페이트 | 베이가 | 카르마 | 피즈
마법공학 총검,B,4.11,-0.14,15.2%,939641,16.2%,벡스 | 티모 | 르블랑 | 진 | 바드
죽음의 검,B,4.11,-0.14,15.6%,896138,15.4%,진 | 자야 | 코르키 | 킨드레드 | 케이틀린
스테락의 도전,B,4.17,-0.13,16.3%,917540,15.8%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 우르곳
수은,B,4.15,-0.13,14.0%,879410,15.1%,벨베스 | 우르곳 | 그레이브즈 | 피오라 | 마스터 이
대천사의 지팡이,B,4.18,-0.12,13.4%,887303,15.3%,빅토르 | 아우렐리온 솔 | 카르마 | 벡스 | 나미
붉은 덩굴정령,B,3.96,-0.12,17.1%,684693,11.8%,자야 | 카르마 | 진 | 나미 | 벡스
모렐로노미콘,B,3.96,-0.12,16.4%,652741,11.2%,카르마 | 바드 | 나미 | 블리츠크랭크 | 리산드라
저녁갑주,B,4.26,-0.11,15.5%,886457,15.2%,누누와 윌럼프 | 람머스 | 오른 | 마오카이 | 탐 켄치
크라켄의 분노,B,4.25,-0.11,13.5%,870541,15.0%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 진
최후의 속삭임,B,4.10,-0.11,16.9%,716658,12.3%,진 | 자야 | 코르키 | 사미라 | 카이사
이온 충격기,B,4.05,-0.10,14.9%,632729,10.9%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
푸른 파수꾼,C,4.20,-0.09,14.1%,658584,11.3%,카르마 | 나미 | 바드 | 카이사 | 코르키
거인의 결의,C,4.40,-0.08,13.6%,806033,13.9%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 블리츠크랭크
여신의 눈물,C,4.72,-0.01,10.5%,234660,4.0%,바드 | 카르마 | 누누와 윌럼프 | 모르가나 | 블리츠크랭크
음전자 망토,C,4.78,-0.01,10.2%,237763,4.1%,모데카이저 | 누누와 윌럼프 | 일라오이 | 람머스 | 라아스트
쇠사슬 조끼,C,4.78,-0.01,10.3%,235583,4.1%,누누와 윌럼프 | 모데카이저 | 라아스트 | 람머스 | 탐 켄치
거인의 허리띠,C,4.85,-0.01,10.1%,311823,5.4%,누누와 윌럼프 | 탐 켄치 | 모데카이저 | 일라오이 | 람머스
쓸데없이 큰 지팡이,C,4.82,-0.01,9.9%,238598,4.1%,바드 | 카르마 | 블리츠크랭크 | 리산드라 | 모르가나
연습용 장갑,C,4.82,-0.01,9.8%,208600,3.6%,진 | 카르마 | 블리츠크랭크 | 바드 | 리산드라
곡궁,C,4.85,-0.01,9.9%,252877,4.3%,카르마 | 바드 | 리산드라 | 진 | 자야
B.F. 대검,C,4.92,-0.00,9.3%,228707,3.9%,진 | 파이크 | 피오라 | 나르 | 케이틀린
프라이팬,D,5.45,+0.00,6.9%,1699,0.0%,라아스트 | 카르마 | 블리츠크랭크 | 오른 | 꼬마 정령
뒤집개,D,5.80,+0.23,4.8%,8105,0.1%,리븐 | 카르마 | 리산드라 | 바드 | 진
