Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.40,14.3%,18597,49.3%,우르곳 | 벡스 | 벨베스 | 진 | 마스터 이
구인수의 격노검,A,4.37,-0.30,13.5%,17760,47.1%,자야 | 벡스 | 킨드레드 | 티모 | 르블랑
가고일 돌갑옷,A,4.34,-0.29,14.0%,16570,43.9%,레오나 | 누누와 윌럼프 | 잭스 | 람머스 | 거대 메크 로봇
태양불꽃 망토,A,4.37,-0.28,13.2%,16883,44.7%,누누와 윌럼프 | 탐 켄치 | 람머스 | 마오카이 | 일라오이
수호자의 맹세,A,4.19,-0.27,15.7%,12659,33.5%,누누와 윌럼프 | 탐 켄치 | 마오카이 | 람머스 | 렉사이
워모그의 갑옷,A,4.18,-0.26,14.3%,11902,31.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
도적의 장갑,A,4.09,-0.25,15.5%,10340,27.4%,블리츠크랭크 | 라아스트 | 일라오이 | 모데카이저 | 쉔
적응형 투구,A,4.07,-0.23,15.8%,9283,24.6%,누누와 윌럼프 | 탐 켄치 | 람머스 | 카르마 | 바드
정령의 형상,A,4.28,-0.23,13.6%,12046,31.9%,누누와 윌럼프 | 탐 켄치 | 람머스 | 마오카이 | 일라오이
타격대의 철퇴,A,4.08,-0.22,15.4%,9161,24.3%,진 | 코르키 | 카이사 | 킨드레드 | 벡스
크라운가드,A,4.09,-0.22,15.2%,9182,24.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 마오카이
쇼진의 창,A,4.35,-0.22,14.2%,12542,33.2%,카르마 | 나미 | 이즈리얼 | 코르키 | 오로라
스테락의 도전,A,4.04,-0.21,15.8%,8186,21.7%,브라이어 | 거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈
밤의 끝자락,A,4.10,-0.20,15.4%,8471,22.4%,마스터 이 | 피오라 | 리븐 | 파이크 | 탈론
보석 건틀릿,B,4.44,-0.19,13.0%,12852,34.1%,나미 | 카르마 | 빅토르 | 벡스 | 오로라
공허의 지팡이,B,4.22,-0.18,14.5%,8725,23.1%,카르마 | 나미 | 바드 | 리산드라 | 조이
정의의 손길,B,4.02,-0.18,15.3%,6894,18.3%,피오라 | 리븐 | 블리츠크랭크 | 마스터 이 | 아칼리
수은,B,4.28,-0.18,13.6%,9291,24.6%,우르곳 | 벨베스 | 마스터 이 | 피오라 | 그레이브즈
저녁갑주,B,4.30,-0.17,13.6%,9450,25.0%,마오카이 | 탐 켄치 | 람머스 | 누누와 윌럼프 | 렉사이
무한의 대검,B,4.43,-0.17,14.2%,11433,30.3%,진 | 자야 | 우르곳 | 카이사 | 이즈리얼
피바라기,B,4.21,-0.17,14.1%,8129,21.5%,리븐 | 브라이어 | 피오라 | 블리츠크랭크 | 마스터 이
