Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.97,-2.53,57.1%,1439,0.0%,벡스 | 자야 | 아우렐리온 솔 | 킨드레드 | 르블랑
거대한 히드라,S,4.07,-0.43,16.2%,12691,0.3%,리븐 | 우르곳 | 피오라 | 그레이브즈 | 벨베스
아리의 오라,S,4.18,-0.32,13.3%,38182,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 카르마 | 벡스
라이트실드 문장,A,4.21,-0.29,13.9%,24028,0.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 거대 메크 로봇
지평선의 초점,A,4.23,-0.27,14.6%,12460,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 라아스트 | 블리츠크랭크
죽음의 저항,A,4.23,-0.27,14.6%,18854,0.5%,리븐 | 피오라 | 마스터 이 | 아칼리 | 그레이브즈
거물의 갑옷,A,4.26,-0.24,13.9%,28449,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
은빛 여명,A,4.27,-0.23,14.2%,16598,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 라아스트 | 리븐
무한한 삼위일체,A,4.27,-0.23,13.2%,28413,0.8%,리븐 | 피오라 | 벨베스 | 아칼리 | 마스터 이
불굴,A,4.27,-0.23,14.1%,31079,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
생선대가리,A,4.29,-0.21,12.9%,17145,0.5%,자야 | 벨베스 | 킨드레드 | 그레이브즈 | 진
에코의 인내,A,4.30,-0.20,13.8%,38683,1.0%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
존야의 역설,B,4.30,-0.20,14.3%,16020,0.4%,아우렐리온 솔 | 블리츠크랭크 | 리븐 | 피즈 | 르블랑
마법사의 최후,B,4.30,-0.20,13.1%,15458,0.4%,벡스 | 르블랑 | 리븐 | 피즈 | 벨베스
황금 징수의 총,B,4.31,-0.19,13.5%,15615,0.4%,자야 | 진 | 코르키 | 킨드레드 | 그레이브즈
영원한 서약,B,4.33,-0.17,13.4%,13595,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
방한 장갑,B,4.34,-0.16,12.9%,18447,0.5%,벨베스 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
스태틱의 단검,B,4.34,-0.16,12.9%,17282,0.5%,벡스 | 르블랑 | 티모 | 나미 | 트위스티드 페이트
도박꾼의 칼날,B,4.35,-0.15,13.1%,22141,0.6%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
명멸검,B,4.36,-0.14,12.6%,28544,0.8%,자야 | 벡스 | 르블랑 | 킨드레드 | 벨베스
공허 건틀릿,B,4.36,-0.14,12.9%,17984,0.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇 | 일라오이
이블린의 본능,B,4.37,-0.13,10.6%,41817,1.1%,벨베스 | 리븐 | 마스터 이 | 피오라 | 피즈
리치베인,B,4.37,-0.13,11.5%,14704,0.4%,벡스 | 피즈 | 르블랑 | 카르마 | 나미
지옥불 손도끼,B,4.37,-0.13,13.2%,11476,0.3%,리븐 | 피오라 | 우르곳 | 그레이브즈 | 마스터 이
카파 주스,B,4.38,-0.12,13.6%,10720,0.3%,아우렐리온 솔 | 벡스 | 자야 | 르블랑 | 빅토르
자객의 발톱,B,4.38,-0.12,11.7%,13774,0.4%,리븐 | 피오라 | 아칼리 | 마스터 이 | 우르곳
선체분쇄자,B,4.40,-0.10,12.5%,17766,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
황혼의 방패,C,4.42,-0.08,11.9%,21255,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
새벽의 방패,C,4.42,-0.08,11.9%,21285,0.6%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
루덴의 폭풍,C,4.44,-0.06,10.7%,15441,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 아우렐리온 솔
추적자의 팔목 보호대,C,4.45,-0.05,12.5%,18308,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
소라카의 기적,C,4.45,-0.05,12.0%,54731,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
고속 연사포,C,4.45,-0.05,11.2%,16926,0.5%,벨베스 | 마스터 이 | 자야 | 그레이브즈 | 우르곳
역병의 보석,C,4.46,-0.04,11.6%,15729,0.4%,아우렐리온 솔 | 벡스 | 빅토르 | 카르마 | 나미
데마시아의 왕관,C,4.47,-0.03,9.6%,18749,0.5%,르블랑 | 벡스 | 자야 | 카이사 | 초가스
바루스의 집착,C,4.49,-0.01,10.7%,35467,1.0%,아우렐리온 솔 | 벡스 | 르블랑 | 자야 | 빅토르
쓰레쉬의 랜턴,D,4.50,+0.00,10.9%,31336,0.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
저격수의 집중,D,4.51,+0.01,12.0%,20603,0.6%,벡스 | 자야 | 킨드레드 | 진 | 아우렐리온 솔
승천의 부적,D,4.55,+0.05,10.4%,12894,0.3%,초가스 | 거대 메크 로봇 | 아우렐리온 솔 | 일라오이 | 누누와 윌럼프
