Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.0%,197709,50.0%,Master Yi | Corki | Kindred | Teemo | Kai'Sa
Gargoyle Stoneplate,S,4.35,-0.30,13.5%,186133,47.1%,Jax | Leona | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.14,-0.27,15.5%,125499,31.8%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.12,-0.27,15.0%,121443,30.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Leona
Guinsoo's Rageblade,A,4.40,-0.26,13.5%,169576,42.9%,Kindred | Vex | Teemo | Xayah | LeBlanc
Sunfire Cape,A,4.37,-0.26,13.2%,161503,40.9%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Crownguard,A,4.14,-0.24,14.7%,111897,28.3%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Thief's Gloves,A,4.10,-0.24,15.6%,105312,26.6%,Blitzcrank | Fiora | Maokai | Urgot | The Mighty Mech
Striker's Flail,A,4.15,-0.23,14.4%,106956,27.1%,Corki | Kai'Sa | Jhin | Kindred | Fiora
Adaptive Helm,A,4.12,-0.22,15.1%,98825,25.0%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Sterak's Gage,A,4.08,-0.22,15.2%,93203,23.6%,Riven | Briar | Fiora | The Mighty Mech | Graves
Spirit Visage,A,4.25,-0.22,14.0%,114602,29.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Edge of Night,A,4.21,-0.22,14.9%,108171,27.4%,Master Yi | Fiora | Riven | Zed | Talon
Spear of Shojin,A,4.31,-0.21,14.6%,117448,29.7%,Karma | Milio | Kai'Sa | Corki | Lulu
Last Whisper,A,4.28,-0.21,13.1%,113661,28.8%,Corki | Kindred | Kai'Sa | Jhin | Xayah
Bramble Vest,A,3.89,-0.21,16.0%,73047,18.5%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Deathblade,B,4.16,-0.20,13.6%,92978,23.5%,Corki | Jhin | Kindred | Kai'Sa | Riven
Infinity Edge,B,4.29,-0.19,14.6%,105674,26.7%,Kai'Sa | Jhin | Corki | Kindred | Xayah
Jeweled Gauntlet,B,4.38,-0.19,14.3%,120168,30.4%,Lulu | Karma | Bard | Vex | Nami
Bloodthirster,B,4.18,-0.19,13.8%,89763,22.7%,Riven | Briar | Fiora | Blitzcrank | Diana
Evenshroud,B,4.33,-0.18,13.5%,106261,26.9%,Tahm Kench | Rammus | Maokai | Rek'Sai | Nunu & Willump
Hand Of Justice,B,4.02,-0.17,15.1%,69109,17.5%,Fiora | Riven | Master Yi | Blitzcrank | Urgot
Red Buff,B,4.07,-0.16,16.2%,68933,17.4%,Kindred | Milio | Karma | Jhin | Kai'Sa
Quicksilver,B,4.31,-0.16,13.5%,89701,22.7%,Master Yi | Bel'Veth | Fiora | Riven | Urgot
Void Staff,B,4.17,-0.15,15.6%,73390,18.6%,Karma | Zoe | Bard | Lissandra | Milio
Rabadon's Deathcap,B,4.08,-0.15,15.7%,65533,16.6%,Karma | Twisted Fate | Teemo | Milio | Bard
Morellonomicon,B,4.19,-0.15,14.8%,73402,18.6%,Karma | Milio | Zoe | Bard | Lissandra
Steadfast Heart,B,3.95,-0.15,16.0%,54618,13.8%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Hextech Gunblade,B,4.07,-0.13,15.3%,56128,14.2%,Teemo | Vex | Kindred | Riven | LeBlanc
Blue Buff,B,4.26,-0.13,13.9%,69921,17.7%,Kai'Sa | Corki | Karma | Bard | Milio
Nashor's Tooth,B,4.38,-0.12,13.8%,74599,18.9%,Lulu | Twisted Fate | Karma | Milio | Veigar
Titan's Resolve,B,4.24,-0.12,13.2%,60427,15.3%,Briar | Riven | Fiora | Diana | Master Yi
Kraken's Fury,B,4.13,-0.11,14.8%,48258,12.2%,Kindred | Bel'Veth | Xayah | Caitlyn | Jhin
Dragon's Claw,C,4.22,-0.10,13.8%,47987,12.1%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Archangel's Staff,C,4.11,-0.07,15.6%,32341,8.2%,Karma | Milio | Bard | Aurelion Sol | Twisted Fate
Ionic Spark,C,4.18,-0.07,15.2%,33959,8.6%,Illaoi | Nunu & Willump | Blitzcrank | Maokai | Tahm Kench
Tear of the Goddess,C,4.78,-0.01,9.7%,14595,3.7%,Milio | Maokai | Karma | Bard | Nunu & Willump
Chain Vest,C,4.82,-0.01,9.8%,12942,3.3%,Maokai | The Mighty Mech | Mordekaiser | Illaoi | Tahm Kench
Negatron Cloak,C,4.86,-0.01,9.2%,14243,3.6%,Maokai | The Mighty Mech | Illaoi | Mordekaiser | Tahm Kench
Needlessly Large Rod,C,4.87,-0.00,9.0%,14784,3.7%,Milio | Karma | Bard | Fizz | Lissandra
Giant's Belt,C,4.90,-0.00,9.9%,18342,4.6%,Maokai | Tahm Kench | The Mighty Mech | Illaoi | Mordekaiser
Recurve Bow,C,4.91,-0.00,9.0%,16406,4.2%,Milio | Kindred | Karma | Urgot | Jhin
Sparring Gloves,C,4.89,-0.00,9.3%,12289,3.1%,Milio | Kai'Sa | Urgot | Jhin | Karma
B.F. Sword,C,4.98,-0.00,9.2%,12985,3.3%,Riven | Jhin | Urgot | Kai'Sa | Kindred
Frying Pan,D,5.85,+0.00,1.5%,68,0.0%,Kindred | Karma | Lissandra | Rhaast | Zoe
Spatula,D,5.56,+0.19,8.9%,606,0.2%,Riven | Karma | Milio | Kindred | Kai'Sa
