Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.36,13.8%,3281112,44.6%,Urgot | Vex | Bel'Veth | Jhin | Xayah
Gargoyle Stoneplate,S,4.33,-0.33,13.3%,3624346,49.2%,Nunu & Willump | The Mighty Mech | Leona | Rammus | Jax
Warmog's Armor,S,4.21,-0.30,14.4%,2783202,37.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Sunfire Cape,A,4.32,-0.29,13.6%,3168333,43.0%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Protector's Vow,A,4.14,-0.27,16.5%,2328225,31.6%,Nunu & Willump | Rammus | Maokai | Tahm Kench | Rhaast
Jeweled Gauntlet,A,4.33,-0.27,13.0%,2912707,39.6%,Nami | Viktor | Aurelion Sol | Karma | Vex
Guinsoo's Rageblade,A,4.49,-0.26,13.4%,3832915,52.1%,Xayah | Vex | Kindred | Teemo | LeBlanc
Spirit Visage,A,4.26,-0.25,13.9%,2519782,34.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Spear of Shojin,A,4.24,-0.23,13.7%,2231498,30.3%,Nami | Karma | Aurora | Bard | Samira
Infinity Edge,A,4.38,-0.23,14.5%,2743946,37.3%,Xayah | Jhin | Urgot | Kai'Sa | Samira
Thief's Gloves,A,4.11,-0.23,15.4%,1903202,25.9%,Blitzcrank | Rhaast | Shen | Mordekaiser | Illaoi
Void Staff,A,4.04,-0.20,15.4%,1548450,21.0%,Nami | Karma | Bard | Lissandra | Aurelion Sol
Adaptive Helm,B,3.93,-0.20,17.1%,1355511,18.4%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.18,-0.18,14.2%,1645729,22.4%,Nunu & Willump | Illaoi | Rammus | Tahm Kench | Ornn
Rabadon's Deathcap,B,4.08,-0.18,14.5%,1469261,20.0%,Twisted Fate | Viktor | Aurora | Aurelion Sol | Vex
Striker's Flail,B,4.04,-0.18,15.6%,1365629,18.6%,Jhin | Corki | Vex | Kai'Sa | Nami
Steadfast Heart,B,3.96,-0.17,15.9%,1209806,16.4%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Rhaast
