Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,158260,49.5%,Master Yi | Corki | Kindred | Jhin | Teemo
Gargoyle Stoneplate,A,4.35,-0.29,13.7%,144154,45.1%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.14,-0.28,15.5%,102727,32.1%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Sunfire Cape,A,4.37,-0.27,13.2%,136908,42.8%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.14,-0.27,14.8%,98194,30.7%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Leona
Guinsoo's Rageblade,A,4.40,-0.26,13.5%,138388,43.3%,Kindred | Vex | Teemo | Xayah | LeBlanc
Thief's Gloves,A,4.10,-0.24,15.6%,85123,26.6%,Blitzcrank | Fiora | Maokai | Urgot | Illaoi
Crownguard,A,4.13,-0.23,14.9%,84842,26.5%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Striker's Flail,A,4.13,-0.23,14.8%,83606,26.1%,Corki | Kai'Sa | Jhin | Kindred | Karma
Spirit Visage,A,4.27,-0.22,13.8%,95417,29.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Illaoi
Sterak's Gage,A,4.08,-0.22,15.2%,76070,23.8%,Riven | Briar | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.17,-0.22,14.9%,83202,26.0%,Master Yi | Fiora | Riven | Zed | Talon
Adaptive Helm,A,4.13,-0.22,15.1%,79444,24.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Spear of Shojin,A,4.33,-0.21,14.3%,98611,30.8%,Karma | Kai'Sa | Corki | Milio | Lulu
Last Whisper,A,4.25,-0.20,13.5%,85788,26.8%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Infinity Edge,B,4.33,-0.19,14.4%,92288,28.9%,Kai'Sa | Jhin | Corki | Ezreal | Kindred
Bramble Vest,B,3.89,-0.19,16.4%,55768,17.4%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Bloodthirster,B,4.18,-0.19,13.6%,73417,23.0%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Deathblade,B,4.13,-0.19,14.1%,69414,21.7%,Corki | Jhin | Kindred | Kai'Sa | Ezreal
Evenshroud,B,4.31,-0.19,13.8%,86447,27.0%,Tahm Kench | Rammus | Maokai | Rek'Sai | Nunu & Willump
Jeweled Gauntlet,B,4.41,-0.19,14.0%,100896,31.5%,Lulu | Karma | Nami | Aurelion Sol | Bard
Hand Of Justice,B,4.02,-0.17,15.2%,56763,17.7%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Void Staff,B,4.18,-0.16,15.5%,62809,19.6%,Karma | Zoe | Bard | Lissandra | Milio
Quicksilver,B,4.30,-0.16,13.4%,72922,22.8%,Master Yi | Bel'Veth | Fiora | Urgot | Riven
Red Buff,B,4.08,-0.16,16.3%,54575,17.1%,Kindred | Karma | Jhin | Milio | Kai'Sa
Rabadon's Deathcap,B,4.08,-0.15,15.7%,53360,16.7%,Karma | Twisted Fate | Teemo | Bard | Milio
Steadfast Heart,B,4.00,-0.14,15.6%,46522,14.5%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Morellonomicon,B,4.19,-0.14,14.6%,56306,17.6%,Karma | Milio | Bard | Zoe | Lissandra
Hextech Gunblade,B,4.09,-0.14,15.4%,47876,15.0%,Teemo | Vex | Kindred | LeBlanc | Riven
Blue Buff,B,4.24,-0.13,14.2%,56923,17.8%,Kai'Sa | Karma | Corki | Bard | Milio
Titan's Resolve,B,4.25,-0.12,13.0%,50864,15.9%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Kraken's Fury,B,4.14,-0.11,14.7%,42046,13.1%,Kindred | Xayah | Bel'Veth | Caitlyn | Jhin
Nashor's Tooth,B,4.40,-0.11,13.5%,59545,18.6%,Lulu | Twisted Fate | Karma | Nami | Veigar
