Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.38,13.9%,22647,48.7%,Urgot | Vex | Bel'Veth | Jhin | Teemo
Gargoyle Stoneplate,S,4.29,-0.30,14.1%,20076,43.2%,Nunu & Willump | Leona | Jax | The Mighty Mech | Rammus
Guinsoo's Rageblade,A,4.37,-0.29,13.7%,21672,46.6%,Xayah | Vex | Kindred | Teemo | LeBlanc
Protector's Vow,A,4.14,-0.29,15.5%,15505,33.4%,Nunu & Willump | Rammus | Maokai | Tahm Kench | Rek'Sai
Sunfire Cape,A,4.39,-0.28,13.0%,20928,45.0%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Warmog's Armor,A,4.15,-0.26,14.9%,14486,31.2%,Nunu & Willump | Rammus | Illaoi | Maokai | Tahm Kench
Thief's Gloves,A,4.11,-0.24,15.2%,12669,27.3%,Blitzcrank | Rhaast | Mordekaiser | Shen | Illaoi
Spear of Shojin,A,4.31,-0.23,14.4%,15515,33.4%,Nami | Karma | Aurora | Bard | Corki
Striker's Flail,A,4.08,-0.23,15.2%,11499,24.7%,Jhin | Corki | Kai'Sa | Vex | Kindred
Spirit Visage,A,4.29,-0.22,13.5%,14628,31.5%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Adaptive Helm,A,4.09,-0.22,15.4%,11387,24.5%,Nunu & Willump | Rammus | Tahm Kench | Bard | Karma
Crownguard,A,4.07,-0.22,15.5%,10957,23.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Maokai
Sterak's Gage,A,4.04,-0.20,16.2%,9886,21.3%,The Mighty Mech | Briar | Fiora | Riven | Graves
Jeweled Gauntlet,A,4.41,-0.20,13.1%,16086,34.6%,Nami | Viktor | Karma | Aurelion Sol | Vex
Infinity Edge,B,4.41,-0.19,14.6%,14629,31.5%,Xayah | Jhin | Urgot | Kai'Sa | Samira
Edge of Night,B,4.15,-0.18,15.0%,10027,21.6%,Master Yi | Fiora | Riven | Pyke | Talon
Void Staff,B,4.25,-0.18,14.3%,10910,23.5%,Karma | Nami | Bard | Lissandra | Aurelion Sol
Deathblade,B,4.05,-0.17,16.0%,8284,17.8%,Jhin | Corki | Xayah | Kindred | Caitlyn
Bloodthirster,B,4.24,-0.17,14.5%,10362,22.3%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Rabadon's Deathcap,B,4.07,-0.17,15.4%,8408,18.1%,Twisted Fate | Viktor | Aurora | Karma | Vex
Hand Of Justice,B,4.16,-0.16,13.9%,8920,19.2%,Fiora | Blitzcrank | Riven | Akali | Master Yi
Evenshroud,B,4.34,-0.16,13.5%,11263,24.2%,Maokai | Rammus | Nunu & Willump | Tahm Kench | Rek'Sai
Steadfast Heart,B,4.05,-0.16,14.9%,7753,16.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Last Whisper,B,4.16,-0.16,15.8%,8745,18.8%,Jhin | Corki | Xayah | Kindred | Kai'Sa
Quicksilver,B,4.36,-0.16,12.7%,11478,24.7%,Urgot | Bel'Veth | Master Yi | Graves | Fiora
Hextech Gunblade,B,4.06,-0.16,15.0%,7762,16.7%,Vex | Teemo | LeBlanc | Jhin | Talon
Red Buff,B,4.05,-0.16,16.1%,7663,16.5%,Xayah | Jhin | Karma | Kindred | Nami
Bramble Vest,B,3.89,-0.15,16.6%,6467,13.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Morellonomicon,B,4.26,-0.13,14.3%,8436,18.1%,Karma | Aurora | Bard | Nami | Lissandra
Kraken's Fury,B,4.21,-0.13,14.0%,7426,16.0%,Xayah | Bel'Veth | Kindred | Caitlyn | Jhin
Nashor's Tooth,B,4.32,-0.12,13.2%,8335,17.9%,Twisted Fate | Nami | Veigar | Karma | Aurora
Titan's Resolve,B,4.29,-0.12,14.0%,7605,16.4%,Riven | Briar | The Mighty Mech | Fiora | Master Yi
Dragon's Claw,B,4.28,-0.11,13.4%,7361,15.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Blue Buff,B,4.19,-0.10,15.3%,5942,12.8%,Karma | Kai'Sa | Aurora | Bard | Nami
Archangel's Staff,C,4.16,-0.10,14.2%,5541,11.9%,Viktor | Aurelion Sol | Aurora | Karma | Nami
Ionic Spark,C,4.25,-0.08,13.0%,5076,10.9%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | Rammus
Chain Vest,C,4.70,-0.01,10.7%,1536,3.3%,Rhaast | Nunu & Willump | Mordekaiser | Illaoi | Maokai
Tear of the Goddess,C,4.76,-0.01,8.9%,1569,3.4%,Bard | Nunu & Willump | Karma | Lissandra | Maokai
Negatron Cloak,C,4.76,-0.01,10.3%,1500,3.2%,Mordekaiser | Illaoi | Rhaast | Nunu & Willump | Rammus
Needlessly Large Rod,C,4.84,-0.01,9.3%,1590,3.4%,Bard | Karma | Aurora | Lissandra | Blitzcrank
Sparring Gloves,C,4.85,-0.00,8.9%,1292,2.8%,Jhin | Karma | Blitzcrank | Akali | Bard
Recurve Bow,C,4.93,-0.00,8.5%,1843,4.0%,Karma | Jhin | Bard | Lissandra | Kindred
B.F. Sword,C,4.92,-0.00,9.2%,1400,3.0%,Jhin | Pyke | Akali | Kindred | Riven
Giant's Belt,C,4.96,-0.00,9.9%,2085,4.5%,Nunu & Willump | Illaoi | Rhaast | Maokai | Mordekaiser
Frying Pan,D,6.67,+0.00,0.0%,3,0.0%,Rhaast | Mordekaiser | Akali | Blitzcrank | The Mighty Mech
Spatula,D,5.67,+0.20,9.0%,67,0.1%,Riven | Karma | Lissandra | Bard | Mordekaiser
