Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Gargoyle Stoneplate,S,4.35,-0.35,13.2%,329571,54.6%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Leona
Giant Slayer,S,4.19,-0.34,14.4%,255370,42.3%,Vex | Master Yi | Jhin | Bard | Graves
Warmog's Armor,S,4.19,-0.33,14.8%,246451,40.8%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Protector's Vow,A,4.28,-0.29,14.8%,246677,40.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Ornn
Jeweled Gauntlet,A,4.33,-0.29,13.9%,258151,42.7%,Nami | Bard | Vex | Blitzcrank | Aurelion Sol
Spear of Shojin,A,4.24,-0.26,14.8%,207075,34.3%,Samira | Nami | Sona | Karma | Bard
Thief's Gloves,A,4.15,-0.24,15.9%,171976,28.5%,Blitzcrank | Shen | Fiora | Maokai | Rhaast
Adaptive Helm,A,4.12,-0.24,15.4%,164221,27.2%,Nunu & Willump | Blitzcrank | Tahm Kench | Rammus | Bard
Spirit Visage,A,4.27,-0.24,13.4%,194595,32.2%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Deathblade,A,4.24,-0.23,13.7%,185753,30.8%,Samira | Corki | Jhin | Miss Fortune | Graves
Striker's Flail,A,4.09,-0.21,15.1%,143002,23.7%,Corki | Jhin | Bard | Vex | Graves
Crownguard,A,4.15,-0.21,14.1%,151571,25.1%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Ornn
Last Whisper,A,4.23,-0.21,13.3%,163063,27.0%,Samira | Corki | Jhin | Kindred | Xayah
Void Staff,A,4.14,-0.21,15.3%,144219,23.9%,Karma | Sona | Bard | Nami | Blitzcrank
Red Buff,A,4.16,-0.20,16.0%,147427,24.4%,Xayah | Vex | Nami | Jhin | Kindred
Guinsoo's Rageblade,A,4.48,-0.20,13.3%,236061,39.1%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Rabadon's Deathcap,B,4.03,-0.19,16.5%,119918,19.9%,Bard | Nami | Aurelion Sol | Blitzcrank | Vex
Morellonomicon,B,4.17,-0.19,14.7%,135881,22.5%,Nami | Karma | Sona | Bard | Milio
Infinity Edge,B,4.31,-0.18,13.7%,161512,26.7%,Jhin | Samira | Miss Fortune | Graves | Xayah
Sunfire Cape,B,4.37,-0.18,12.4%,171320,28.4%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Illaoi
Bramble Vest,B,3.99,-0.16,14.9%,92781,15.4%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Hand Of Justice,B,3.93,-0.14,15.6%,81659,13.5%,Blitzcrank | Fiora | Riven | Urgot | Pyke
Sterak's Gage,B,4.13,-0.14,14.9%,97799,16.2%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Edge of Night,B,4.23,-0.14,13.5%,107156,17.7%,Master Yi | Fiora | Pyke | Riven | Zed
Nashor's Tooth,B,4.27,-0.14,13.7%,112662,18.7%,Nami | Lulu | Lissandra | Karma | Bard
Bloodthirster,B,4.22,-0.13,14.1%,104612,17.3%,Riven | Fiora | Blitzcrank | Diana | Jax
Steadfast Heart,B,4.00,-0.13,15.1%,81308,13.5%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Dragon's Claw,B,4.16,-0.12,13.9%,86461,14.3%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Hextech Gunblade,B,4.02,-0.11,16.5%,66644,11.0%,Vex | Bard | Blitzcrank | Jhin | LeBlanc
Quicksilver,B,4.23,-0.11,14.8%,83321,13.8%,Master Yi | Graves | Fiora | Riven | Urgot
Blue Buff,B,4.07,-0.10,15.2%,67670,11.2%,Sona | Nami | Karma | Bard | Corki
Kraken's Fury,B,4.33,-0.10,14.0%,91620,15.2%,Xayah | Kindred | Gnar | Bel'Veth | Jhin
Ionic Spark,C,4.05,-0.10,15.9%,61759,10.2%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Archangel's Staff,C,3.97,-0.08,16.1%,47889,7.9%,Bard | Nami | Karma | Sona | Vex
Evenshroud,C,4.30,-0.08,12.4%,65852,10.9%,Tahm Kench | Maokai | Rammus | Ornn | Nunu & Willump
Titan's Resolve,C,4.28,-0.07,13.6%,58023,9.6%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.71,-0.01,10.3%,22078,3.7%,Nunu & Willump | Blitzcrank | Karma | Bard | Nami
Negatron Cloak,C,4.80,-0.01,9.6%,21764,3.6%,Illaoi | Nunu & Willump | Maokai | Ornn | Blitzcrank
Needlessly Large Rod,C,4.82,-0.01,9.7%,23224,3.8%,Blitzcrank | Nami | Karma | Bard | Milio
Chain Vest,C,4.82,-0.01,9.9%,22514,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | Ornn
Giant's Belt,C,4.90,-0.01,9.5%,29801,4.9%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | Ornn
Sparring Gloves,C,4.86,-0.00,9.2%,18935,3.1%,Blitzcrank | Jhin | Karma | Milio | Nami
Recurve Bow,C,4.92,-0.00,9.2%,25451,4.2%,Jhin | Karma | Nami | Milio | Sona
Frying Pan,D,6.03,+0.00,7.8%,115,0.0%,Blitzcrank | Ornn | Karma | Rhaast | Urgot
B.F. Sword,D,5.03,+0.00,8.6%,21235,3.5%,Jhin | Samira | Riven | Fiora | Karma
Spatula,D,5.61,+0.20,7.0%,985,0.2%,Riven | Karma | Blitzcrank | Shen | Nami
