Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,185083,50.0%,Master Yi | Corki | Kindred | Teemo | Jhin
Gargoyle Stoneplate,S,4.35,-0.30,13.5%,171991,46.5%,Jax | Leona | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.14,-0.27,15.4%,118249,31.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.12,-0.27,15.0%,113961,30.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Leona
Guinsoo's Rageblade,A,4.39,-0.26,13.6%,160026,43.2%,Kindred | Vex | Teemo | Xayah | LeBlanc
Sunfire Cape,A,4.37,-0.26,13.1%,154080,41.6%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Thief's Gloves,A,4.11,-0.24,15.6%,98685,26.7%,Blitzcrank | Fiora | Maokai | Urgot | The Mighty Mech
Crownguard,A,4.14,-0.24,14.7%,102124,27.6%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Striker's Flail,A,4.15,-0.23,14.5%,99250,26.8%,Corki | Kai'Sa | Jhin | Kindred | Karma
Adaptive Helm,A,4.12,-0.22,15.2%,92247,24.9%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Spirit Visage,A,4.25,-0.22,14.0%,108944,29.4%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Sterak's Gage,A,4.08,-0.22,15.3%,87878,23.7%,Riven | Briar | Fiora | The Mighty Mech | Graves
Edge of Night,A,4.20,-0.22,14.8%,100504,27.1%,Master Yi | Fiora | Riven | Zed | Talon
Last Whisper,A,4.27,-0.21,13.2%,104029,28.1%,Corki | Kindred | Kai'Sa | Jhin | Xayah
Spear of Shojin,A,4.32,-0.20,14.4%,111059,30.0%,Karma | Milio | Kai'Sa | Corki | Lulu
Bramble Vest,A,3.89,-0.20,16.1%,67382,18.2%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Deathblade,B,4.14,-0.20,13.7%,84619,22.9%,Corki | Jhin | Kindred | Kai'Sa | Riven
Infinity Edge,B,4.30,-0.19,14.6%,100310,27.1%,Kai'Sa | Jhin | Corki | Kindred | Xayah
Jeweled Gauntlet,B,4.39,-0.19,14.3%,114754,31.0%,Lulu | Karma | Vex | Bard | Aurelion Sol
Bloodthirster,B,4.18,-0.19,13.7%,84555,22.8%,Riven | Briar | Fiora | Blitzcrank | Diana
Evenshroud,B,4.32,-0.18,13.5%,99559,26.9%,Tahm Kench | Maokai | Rammus | Rek'Sai | Nunu & Willump
Hand Of Justice,B,4.02,-0.17,15.1%,65208,17.6%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Red Buff,B,4.07,-0.16,16.3%,63824,17.2%,Kindred | Milio | Karma | Jhin | Kai'Sa
Quicksilver,B,4.31,-0.16,13.5%,84474,22.8%,Master Yi | Bel'Veth | Fiora | Riven | Urgot
Void Staff,B,4.18,-0.15,15.5%,69818,18.9%,Karma | Zoe | Bard | Lissandra | Milio
Rabadon's Deathcap,B,4.08,-0.15,15.8%,61436,16.6%,Karma | Twisted Fate | Teemo | Milio | Bard
Morellonomicon,B,4.17,-0.15,14.8%,66769,18.0%,Karma | Milio | Bard | Zoe | Lissandra
Steadfast Heart,B,3.96,-0.15,15.9%,52008,14.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Blue Buff,B,4.24,-0.13,14.1%,65300,17.6%,Kai'Sa | Corki | Karma | Bard | Milio
Hextech Gunblade,B,4.08,-0.13,15.3%,53278,14.4%,Teemo | Vex | Kindred | Riven | LeBlanc
Titan's Resolve,B,4.25,-0.12,13.1%,56773,15.3%,Briar | Riven | Fiora | Diana | Master Yi
Nashor's Tooth,B,4.39,-0.12,13.7%,70089,18.9%,Lulu | Twisted Fate | Karma | Milio | Nami
Kraken's Fury,B,4.12,-0.11,14.7%,45898,12.4%,Kindred | Bel'Veth | Xayah | Caitlyn | Jhin
Dragon's Claw,C,4.22,-0.10,13.7%,46384,12.5%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Archangel's Staff,C,4.12,-0.07,15.4%,30757,8.3%,Karma | Milio | Bard | Aurelion Sol | Twisted Fate
Ionic Spark,C,4.19,-0.07,15.2%,32695,8.8%,Illaoi | Nunu & Willump | Blitzcrank | Maokai | Tahm Kench
Tear of the Goddess,C,4.78,-0.01,9.9%,13655,3.7%,Milio | Karma | Maokai | Bard | Nunu & Willump
Chain Vest,C,4.82,-0.01,9.5%,12059,3.3%,Maokai | The Mighty Mech | Mordekaiser | Illaoi | Tahm Kench
Negatron Cloak,C,4.86,-0.01,9.4%,13223,3.6%,Maokai | The Mighty Mech | Illaoi | Mordekaiser | Tahm Kench
Needlessly Large Rod,C,4.87,-0.00,9.1%,13759,3.7%,Milio | Karma | Bard | Fizz | Lissandra
Recurve Bow,C,4.91,-0.00,9.2%,15351,4.1%,Milio | Kindred | Karma | Jhin | Urgot
Giant's Belt,C,4.93,-0.00,9.7%,17046,4.6%,Maokai | Tahm Kench | The Mighty Mech | Illaoi | Mordekaiser
Sparring Gloves,C,4.90,-0.00,8.9%,11520,3.1%,Milio | Kai'Sa | Urgot | Jhin | Karma
B.F. Sword,C,4.97,-0.00,9.3%,12149,3.3%,Jhin | Riven | Urgot | Kai'Sa | Kindred
Frying Pan,D,5.91,+0.00,1.7%,58,0.0%,Kindred | Lissandra | Milio | Twisted Fate | Riven
Spatula,D,5.59,+0.19,7.7%,558,0.2%,Riven | Karma | Milio | Kai'Sa | Bard
