Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.5%,186500,47.3%,Vex | Master Yi | Jhin | Graves | Bard
Protector's Vow,S,4.31,-0.33,14.8%,188725,47.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gargoyle Stoneplate,A,4.35,-0.30,12.9%,179958,45.6%,Nunu & Willump | Leona | Rammus | Tahm Kench | Illaoi
Warmog's Armor,A,4.20,-0.29,14.7%,143150,36.3%,Nunu & Willump | Tahm Kench | Maokai | Illaoi | Rammus
Jeweled Gauntlet,A,4.33,-0.26,13.8%,156325,39.6%,Vex | Bard | Aurelion Sol | Karma | Blitzcrank
Guinsoo's Rageblade,A,4.45,-0.26,14.4%,188802,47.8%,Vex | Kindred | Xayah | LeBlanc | Miss Fortune
Thief's Gloves,A,4.16,-0.26,16.3%,123218,31.2%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Adaptive Helm,A,4.15,-0.26,15.5%,119874,30.4%,Nunu & Willump | Tahm Kench | Blitzcrank | Rammus | Bard
Striker's Flail,A,4.11,-0.24,15.0%,107791,27.3%,Corki | Jhin | Vex | Graves | Bard
Crownguard,A,4.13,-0.23,14.2%,104674,26.5%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.28,-0.22,13.2%,118642,30.1%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Illaoi
Deathblade,A,4.22,-0.21,13.2%,104461,26.5%,Corki | Jhin | Miss Fortune | Graves | Xayah
Red Buff,A,4.21,-0.21,15.9%,102653,26.0%,Xayah | Vex | Kindred | Jhin | Karma
Void Staff,A,4.16,-0.20,15.1%,95790,24.3%,Karma | Bard | Sona | Vex | Blitzcrank
Rabadon's Deathcap,B,4.04,-0.19,16.9%,78707,19.9%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Sunfire Cape,B,4.39,-0.19,12.5%,121757,30.8%,Tahm Kench | Nunu & Willump | Illaoi | Maokai | Rammus
Spear of Shojin,B,4.24,-0.19,14.4%,96243,24.4%,Karma | Bard | Sona | Graves | Zed
Infinity Edge,B,4.28,-0.18,14.2%,95933,24.3%,Jhin | Miss Fortune | Xayah | Graves | Kindred
Sterak's Gage,B,4.07,-0.17,15.4%,72138,18.3%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Morellonomicon,B,4.21,-0.16,14.1%,82209,20.8%,Karma | Bard | Sona | Milio | Vex
Edge of Night,B,4.19,-0.16,13.9%,77180,19.6%,Master Yi | Fiora | Riven | Zed | Pyke
Hand Of Justice,B,3.94,-0.15,15.7%,55509,14.1%,Blitzcrank | Fiora | Riven | Graves | Urgot
Bramble Vest,B,3.98,-0.15,15.1%,57063,14.5%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Bloodthirster,B,4.18,-0.15,14.4%,70419,17.8%,Riven | Fiora | Diana | Blitzcrank | Graves
Last Whisper,B,4.24,-0.15,11.6%,75589,19.2%,Corki | Jhin | Kindred | Graves | Xayah
Steadfast Heart,B,4.03,-0.13,14.4%,53660,13.6%,Nunu & Willump | Tahm Kench | Illaoi | Maokai | Rammus
Quicksilver,B,4.22,-0.13,15.0%,65162,16.5%,Graves | Master Yi | Fiora | Urgot | Bel'Veth
Dragon's Claw,B,4.16,-0.13,13.7%,59309,15.0%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Maokai
Hextech Gunblade,B,4.05,-0.12,16.9%,50137,12.7%,Vex | Bard | LeBlanc | Jhin | Blitzcrank
Kraken's Fury,B,4.37,-0.12,14.0%,73125,18.5%,Xayah | Kindred | Bel'Veth | Graves | Jhin
Blue Buff,C,4.06,-0.10,15.0%,41783,10.6%,Sona | Karma | Bard | Corki | Milio
Nashor's Tooth,C,4.32,-0.10,12.7%,56015,14.2%,Lulu | Nami | Karma | Lissandra | Bard
Ionic Spark,C,4.11,-0.08,15.2%,37215,9.4%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech
Archangel's Staff,C,3.94,-0.08,16.2%,31268,7.9%,Bard | Vex | Karma | Sona | Viktor
Titan's Resolve,C,4.24,-0.08,13.9%,41040,10.4%,Diana | Riven | Fiora | Jax | Blitzcrank
Evenshroud,C,4.31,-0.08,11.7%,43300,11.0%,Tahm Kench | Maokai | Nunu & Willump | Rammus | The Mighty Mech
Tear of the Goddess,C,4.77,-0.01,9.7%,13992,3.5%,Nunu & Willump | Karma | Bard | Blitzcrank | Maokai
Giant's Belt,C,4.84,-0.01,10.1%,19943,5.1%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Negatron Cloak,C,4.81,-0.01,10.1%,13910,3.5%,Illaoi | Nunu & Willump | Maokai | Mordekaiser | The Mighty Mech
Chain Vest,C,4.82,-0.01,9.8%,14458,3.7%,Nunu & Willump | Illaoi | Maokai | The Mighty Mech | Tahm Kench
Needlessly Large Rod,C,4.85,-0.01,9.6%,13991,3.5%,Karma | Blitzcrank | Bard | Milio | Sona
Sparring Gloves,C,4.88,-0.00,9.0%,11942,3.0%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.93,-0.00,9.2%,16268,4.1%,Karma | Jhin | Milio | Sona | Bard
Frying Pan,D,5.62,+0.00,7.6%,66,0.0%,Rhaast | Maokai | Blitzcrank | Karma | Urgot
B.F. Sword,D,5.02,+0.00,8.3%,13452,3.4%,Jhin | Fiora | Riven | Karma | Graves
Spatula,D,5.15,+0.10,9.2%,579,0.1%,Karma | Blitzcrank | Riven | Rhaast | Sona
