Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.32,14.2%,600836,40.2%,Vex | LeBlanc | Bel'Veth | Kindred | Graves
Sunfire Cape,A,4.35,-0.29,13.2%,671375,45.0%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Ornn
Jeweled Gauntlet,A,4.37,-0.29,13.4%,682876,45.7%,Nami | Viktor | Aurelion Sol | LeBlanc | Vex
Gargoyle Stoneplate,A,4.39,-0.28,13.2%,692799,46.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Warmog's Armor,A,4.22,-0.27,14.2%,517577,34.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Guinsoo's Rageblade,A,4.48,-0.27,12.8%,767246,51.4%,Vex | LeBlanc | Kindred | Xayah | Jhin
Spirit Visage,A,4.30,-0.25,13.3%,529287,35.4%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Protector's Vow,A,4.07,-0.24,15.9%,394541,26.4%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Jax
Thief's Gloves,A,4.13,-0.24,15.6%,415123,27.8%,Blitzcrank | Shen | Morgana | Fiora | Tahm Kench
Void Staff,A,4.16,-0.22,15.3%,397445,26.6%,Karma | Nami | Aurelion Sol | Vex | Bard
Spear of Shojin,A,4.28,-0.22,14.1%,444398,29.8%,Nami | Karma | Bard | Corki | Samira
Striker's Flail,B,4.12,-0.20,15.3%,338240,22.6%,Vex | Corki | Kindred | Jhin | Aurelion Sol
Adaptive Helm,B,3.96,-0.20,16.4%,282269,18.9%,Nunu & Willump | Rammus | Tahm Kench | Bard | Karma
Dragon's Claw,B,4.24,-0.19,13.5%,376149,25.2%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Hand Of Justice,B,4.12,-0.19,15.0%,325317,21.8%,Fiora | Blitzcrank | Riven | Akali | Graves
Bloodthirster,B,4.29,-0.17,15.0%,361226,24.2%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Steadfast Heart,B,4.07,-0.17,14.9%,272489,18.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Infinity Edge,B,4.39,-0.17,13.1%,415005,27.8%,Jhin | Kai'Sa | Xayah | Corki | Samira
Edge of Night,B,4.08,-0.17,15.7%,272691,18.3%,Master Yi | Fiora | Riven | Akali | Graves
Crownguard,B,3.89,-0.16,16.7%,221123,14.8%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Illaoi
Rabadon's Deathcap,B,4.04,-0.16,15.7%,255472,17.1%,Aurelion Sol | Twisted Fate | Viktor | Nami | Blitzcrank
Hextech Gunblade,B,4.15,-0.16,15.3%,279993,18.7%,Vex | LeBlanc | Aurelion Sol | Karma | Bard
Sterak's Gage,B,4.24,-0.16,16.0%,311542,20.9%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Nashor's Tooth,B,4.31,-0.14,13.2%,306958,20.6%,Nami | Twisted Fate | Karma | Veigar | Aurora
Archangel's Staff,B,4.23,-0.14,13.6%,271832,18.2%,Viktor | Aurelion Sol | Vex | Karma | Nami
Bramble Vest,B,4.08,-0.14,14.4%,225259,15.1%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Deathblade,B,4.09,-0.13,15.4%,208991,14.0%,Jhin | Corki | Kindred | Graves | Xayah
Red Buff,B,4.01,-0.12,16.7%,185430,12.4%,Karma | Xayah | Vex | Bard | Nami
Morellonomicon,B,4.03,-0.12,16.2%,188772,12.6%,Karma | Bard | Nami | Blitzcrank | Morgana
Quicksilver,B,4.14,-0.12,15.2%,203087,13.6%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Ionic Spark,B,4.06,-0.11,15.3%,180433,12.1%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | Rammus
Kraken's Fury,B,4.23,-0.11,13.2%,214529,14.4%,Xayah | Kindred | Bel'Veth | Caitlyn | Graves
Last Whisper,B,4.16,-0.10,15.9%,178664,12.0%,Corki | Jhin | Xayah | Samira | Graves
Titan's Resolve,C,4.43,-0.10,14.0%,251077,16.8%,The Mighty Mech | Riven | Fiora | Master Yi | Graves
Blue Buff,C,4.22,-0.09,14.5%,170381,11.4%,Karma | Bard | Corki | Kai'Sa | Nami
Evenshroud,C,4.32,-0.08,14.0%,184864,12.4%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
