Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.35,14.5%,252294,44.3%,Vex | Master Yi | Jhin | Graves | Bard
Gargoyle Stoneplate,S,4.35,-0.32,13.2%,275671,48.4%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Leona
Protector's Vow,S,4.30,-0.31,14.7%,255272,44.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Warmog's Armor,S,4.19,-0.30,14.8%,210584,37.0%,Nunu & Willump | Tahm Kench | Ornn | Maokai | Rammus
Jeweled Gauntlet,A,4.34,-0.27,13.9%,237023,41.6%,Nami | Bard | Vex | Aurelion Sol | Blitzcrank
Adaptive Helm,A,4.13,-0.25,15.3%,165540,29.1%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Maokai
Thief's Gloves,A,4.17,-0.25,15.8%,168633,29.6%,Blitzcrank | Shen | Fiora | Maokai | Rhaast
Spirit Visage,A,4.25,-0.23,13.6%,177347,31.1%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Maokai
Crownguard,A,4.14,-0.23,14.2%,152686,26.8%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Striker's Flail,A,4.13,-0.23,14.9%,148388,26.1%,Corki | Jhin | Vex | Graves | Bard
Deathblade,A,4.22,-0.22,13.6%,161621,28.4%,Corki | Jhin | Samira | Miss Fortune | Graves
Guinsoo's Rageblade,A,4.48,-0.22,13.6%,238219,41.8%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Spear of Shojin,A,4.22,-0.22,15.0%,158788,27.9%,Samira | Karma | Bard | Nami | Sona
Red Buff,B,4.19,-0.20,15.9%,140964,24.8%,Xayah | Vex | Kindred | Jhin | Milio
Void Staff,B,4.18,-0.19,15.0%,134993,23.7%,Karma | Sona | Bard | Vex | Nami
Infinity Edge,B,4.28,-0.19,14.0%,153464,27.0%,Jhin | Miss Fortune | Samira | Graves | Xayah
Sunfire Cape,B,4.37,-0.19,12.6%,172545,30.3%,Tahm Kench | Nunu & Willump | Maokai | Ornn | Illaoi
Rabadon's Deathcap,B,4.05,-0.19,16.5%,111844,19.6%,Bard | Vex | Aurelion Sol | Blitzcrank | Karma
Last Whisper,B,4.21,-0.18,13.0%,129851,22.8%,Corki | Samira | Jhin | Kindred | Graves
Morellonomicon,B,4.21,-0.17,14.3%,122798,21.6%,Karma | Sona | Bard | Milio | Blitzcrank
Sterak's Gage,B,4.11,-0.16,15.1%,103607,18.2%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Edge of Night,B,4.19,-0.16,13.7%,111928,19.7%,Master Yi | Fiora | Pyke | Riven | Zed
Bramble Vest,B,3.95,-0.16,15.3%,86047,15.1%,Tahm Kench | Nunu & Willump | Rammus | Ornn | Maokai
Hand Of Justice,B,3.94,-0.15,15.4%,81664,14.3%,Blitzcrank | Fiora | Riven | Graves | Pyke
Bloodthirster,B,4.20,-0.15,14.1%,106311,18.7%,Riven | Fiora | Blitzcrank | Diana | Graves
Steadfast Heart,B,3.99,-0.14,15.2%,77510,13.6%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Rammus
Nashor's Tooth,B,4.28,-0.12,13.6%,98480,17.3%,Nami | Lulu | Lissandra | Karma | Bard
Dragon's Claw,B,4.17,-0.12,13.5%,85239,15.0%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Illaoi
Quicksilver,B,4.22,-0.12,15.0%,87509,15.4%,Graves | Master Yi | Fiora | Urgot | Riven
Hextech Gunblade,B,4.05,-0.11,16.4%,66434,11.7%,Vex | Bard | Blitzcrank | Jhin | LeBlanc
Kraken's Fury,B,4.33,-0.11,14.2%,93339,16.4%,Xayah | Kindred | Bel'Veth | Jhin | Graves
Blue Buff,C,4.10,-0.10,15.2%,61273,10.8%,Sona | Karma | Bard | Corki | Nami
Ionic Spark,C,4.06,-0.10,15.8%,58876,10.3%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | The Mighty Mech
Evenshroud,C,4.28,-0.08,12.5%,65330,11.5%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Ornn
Titan's Resolve,C,4.25,-0.08,13.8%,60215,10.6%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,3.98,-0.08,16.1%,42966,7.5%,Bard | Karma | Vex | Sona | Aurelion Sol
Tear of the Goddess,C,4.71,-0.01,9.9%,20602,3.6%,Nunu & Willump | Karma | Blitzcrank | Bard | Milio
Giant's Belt,C,4.86,-0.01,10.0%,28129,4.9%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Chain Vest,C,4.83,-0.01,9.7%,20999,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Needlessly Large Rod,C,4.83,-0.01,9.5%,21158,3.7%,Blitzcrank | Karma | Milio | Bard | Sona
Negatron Cloak,C,4.83,-0.01,9.9%,19950,3.5%,Nunu & Willump | Illaoi | Maokai | The Mighty Mech | Tahm Kench
Sparring Gloves,C,4.88,-0.00,9.1%,17725,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.91,-0.00,9.3%,23417,4.1%,Karma | Jhin | Milio | Bard | Sona
Frying Pan,D,5.56,+0.00,12.3%,81,0.0%,Karma | Blitzcrank | Rhaast | Urgot | Meepsie
B.F. Sword,D,5.04,+0.00,8.7%,20056,3.5%,Jhin | Riven | Fiora | Karma | Graves
Spatula,D,5.52,+0.17,6.7%,834,0.1%,Riven | Karma | Blitzcrank | Bard | Rhaast
