Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.3%,285440,47.0%,Vex | Master Yi | Jhin | Corki | Graves
Protector's Vow,S,4.28,-0.33,14.9%,282225,46.4%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.37,-0.28,12.7%,272182,44.8%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Warmog's Armor,A,4.18,-0.28,14.9%,210601,34.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Jeweled Gauntlet,A,4.33,-0.26,14.2%,236720,39.0%,Aurelion Sol | Vex | Bard | Karma | Lulu
Adaptive Helm,A,4.15,-0.26,15.2%,183547,30.2%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Blitzcrank
Striker's Flail,A,4.17,-0.25,14.1%,185453,30.5%,Corki | Jhin | Vex | Aurelion Sol | Graves
Crownguard,A,4.17,-0.25,13.8%,183715,30.2%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Thief's Gloves,A,4.15,-0.25,16.2%,179004,29.5%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Deathblade,A,4.23,-0.23,12.7%,182148,30.0%,Corki | Jhin | Graves | Miss Fortune | Xayah
Spirit Visage,A,4.24,-0.22,13.9%,172710,28.4%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Guinsoo's Rageblade,A,4.47,-0.21,14.8%,244542,40.2%,Vex | Kindred | Xayah | LeBlanc | Diana
Sunfire Cape,A,4.37,-0.21,12.8%,198849,32.7%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Last Whisper,B,4.29,-0.20,11.1%,167649,27.6%,Corki | Jhin | Kindred | Kai'Sa | Graves
Red Buff,B,4.16,-0.19,16.4%,139204,22.9%,Xayah | Vex | Milio | Kindred | Karma
Spear of Shojin,B,4.24,-0.19,15.1%,153029,25.2%,Karma | Bard | Milio | Sona | Graves
Sterak's Gage,B,4.05,-0.19,14.7%,121576,20.0%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Void Staff,B,4.18,-0.19,15.1%,136498,22.5%,Karma | Bard | Sona | Vex | Milio
Infinity Edge,B,4.23,-0.18,15.0%,139960,23.0%,Jhin | Graves | Kai'Sa | Miss Fortune | Xayah
Rabadon's Deathcap,B,4.07,-0.18,16.5%,115981,19.1%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Edge of Night,B,4.18,-0.17,14.3%,129010,21.2%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.95,-0.17,15.2%,95960,15.8%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.22,-0.17,13.9%,128990,21.2%,Milio | Karma | Bard | Sona | Vex
Bloodthirster,B,4.20,-0.16,13.7%,120369,19.8%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.93,-0.15,15.8%,85347,14.0%,Riven | Fiora | Blitzcrank | Graves | Gragas
Steadfast Heart,B,3.96,-0.14,15.5%,81230,13.4%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.16,-0.12,13.7%,88044,14.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.12,14.8%,93555,15.4%,Master Yi | Graves | Fiora | Riven | Urgot
Hextech Gunblade,B,4.05,-0.11,17.1%,69940,11.5%,Vex | Bard | Karma | Jhin | Riven
Blue Buff,B,4.11,-0.11,14.5%,72708,12.0%,Karma | Corki | Bard | Sona | Kai'Sa
Nashor's Tooth,B,4.31,-0.10,13.8%,92428,15.2%,Lulu | Lissandra | Karma | Nami | Bard
Kraken's Fury,B,4.31,-0.10,14.9%,91072,15.0%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Ionic Spark,C,4.07,-0.09,16.0%,59068,9.7%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | The Mighty Mech
Evenshroud,C,4.30,-0.09,12.3%,75516,12.4%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.27,-0.08,13.6%,68470,11.3%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,3.99,-0.07,16.3%,44723,7.4%,Bard | Karma | Vex | Aurelion Sol | Milio
Tear of the Goddess,C,4.73,-0.01,9.5%,21892,3.6%,Milio | Nunu & Willump | Karma | Bard | Blitzcrank
Giant's Belt,C,4.85,-0.01,10.3%,30637,5.0%,Illaoi | Nunu & Willump | The Mighty Mech | Maokai | Tahm Kench
Negatron Cloak,C,4.80,-0.01,9.7%,21793,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.80,-0.01,9.7%,21801,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Needlessly Large Rod,C,4.83,-0.01,9.6%,22539,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.82,-0.01,9.6%,19023,3.1%,Milio | Blitzcrank | Jhin | Karma | Bard
Recurve Bow,C,4.89,-0.00,9.1%,25018,4.1%,Milio | Karma | Jhin | Bard | Sona
Frying Pan,D,5.85,+0.00,5.4%,92,0.0%,Corki | Karma | Maokai | Rhaast | Meepsie
B.F. Sword,D,5.03,+0.00,8.7%,21028,3.5%,Jhin | Riven | Fiora | Kai'Sa | Karma
Spatula,D,5.44,+0.16,9.2%,947,0.2%,Karma | Riven | Milio | Kai'Sa | Jhin
