Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.35,14.5%,267213,43.5%,Vex | Master Yi | Jhin | Graves | Bard
Gargoyle Stoneplate,S,4.35,-0.33,13.3%,308547,50.2%,Ornn | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Protector's Vow,S,4.29,-0.31,14.7%,267814,43.6%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Warmog's Armor,S,4.19,-0.31,14.8%,232812,37.9%,Nunu & Willump | Ornn | Tahm Kench | Maokai | Rammus
Jeweled Gauntlet,A,4.34,-0.28,13.9%,258504,42.0%,Nami | Bard | Vex | Aurelion Sol | Blitzcrank
Adaptive Helm,A,4.13,-0.25,15.3%,175441,28.5%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Maokai
Thief's Gloves,A,4.16,-0.24,15.8%,178696,29.1%,Blitzcrank | Shen | Fiora | Maokai | Rhaast
Spirit Visage,A,4.25,-0.24,13.6%,194346,31.6%,Tahm Kench | Nunu & Willump | Ornn | Rammus | Maokai
Spear of Shojin,A,4.23,-0.23,14.9%,184752,30.1%,Samira | Nami | Karma | Bard | Sona
Deathblade,A,4.22,-0.23,13.7%,179444,29.2%,Corki | Samira | Jhin | Miss Fortune | Graves
Crownguard,A,4.15,-0.22,14.1%,162898,26.5%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Ornn
Striker's Flail,A,4.12,-0.22,14.9%,155272,25.3%,Corki | Jhin | Vex | Bard | Graves
Guinsoo's Rageblade,A,4.48,-0.21,13.5%,249651,40.6%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Red Buff,A,4.18,-0.20,15.9%,151091,24.6%,Xayah | Vex | Jhin | Kindred | Nami
Void Staff,B,4.17,-0.20,15.1%,145516,23.7%,Karma | Sona | Bard | Nami | Vex
Infinity Edge,B,4.29,-0.19,13.9%,168810,27.5%,Jhin | Samira | Miss Fortune | Graves | Xayah
Last Whisper,B,4.21,-0.19,13.1%,149749,24.4%,Corki | Samira | Jhin | Kindred | Graves
Rabadon's Deathcap,B,4.03,-0.19,16.7%,121348,19.7%,Bard | Aurelion Sol | Vex | Blitzcrank | Nami
Sunfire Cape,B,4.36,-0.19,12.6%,183069,29.8%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Illaoi
Morellonomicon,B,4.19,-0.18,14.4%,134025,21.8%,Karma | Sona | Bard | Milio | Nami
Bramble Vest,B,3.97,-0.16,15.1%,94641,15.4%,Tahm Kench | Nunu & Willump | Ornn | Rammus | Maokai
Sterak's Gage,B,4.12,-0.15,15.1%,108182,17.6%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Edge of Night,B,4.21,-0.15,13.5%,116899,19.0%,Master Yi | Fiora | Pyke | Riven | Zed
Hand Of Justice,B,3.94,-0.15,15.6%,86266,14.0%,Blitzcrank | Fiora | Riven | Urgot | Pyke
Bloodthirster,B,4.21,-0.14,14.0%,112528,18.3%,Riven | Fiora | Blitzcrank | Diana | Urgot
Steadfast Heart,B,3.99,-0.14,15.1%,83878,13.6%,Tahm Kench | Nunu & Willump | Ornn | Rammus | Maokai
Nashor's Tooth,B,4.28,-0.13,13.7%,110186,17.9%,Nami | Lulu | Lissandra | Karma | Bard
Dragon's Claw,B,4.17,-0.12,13.5%,91552,14.9%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Illaoi
Quicksilver,B,4.23,-0.11,14.8%,90571,14.7%,Master Yi | Graves | Fiora | Urgot | Riven
Hextech Gunblade,B,4.03,-0.11,16.6%,70228,11.4%,Vex | Bard | Blitzcrank | Jhin | LeBlanc
Kraken's Fury,B,4.33,-0.11,14.1%,97870,15.9%,Xayah | Kindred | Bel'Veth | Jhin | Gnar
Blue Buff,C,4.10,-0.10,15.2%,66854,10.9%,Sona | Karma | Bard | Nami | Corki
Ionic Spark,C,4.06,-0.10,15.8%,63699,10.4%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Evenshroud,C,4.28,-0.08,12.5%,70287,11.4%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Ornn
Archangel's Staff,C,3.97,-0.08,16.3%,46463,7.6%,Bard | Karma | Nami | Vex | Sona
Titan's Resolve,C,4.28,-0.07,13.5%,63015,10.3%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.73,-0.01,10.0%,22220,3.6%,Nunu & Willump | Blitzcrank | Karma | Bard | Maokai
Chain Vest,C,4.80,-0.01,10.0%,22776,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Negatron Cloak,C,4.81,-0.01,10.0%,21817,3.5%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Tahm Kench
Needlessly Large Rod,C,4.82,-0.01,9.7%,22972,3.7%,Blitzcrank | Karma | Milio | Bard | Nami
Giant's Belt,C,4.89,-0.01,9.7%,30404,4.9%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Sparring Gloves,C,4.87,-0.00,9.0%,19147,3.1%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.92,-0.00,9.1%,25624,4.2%,Karma | Jhin | Milio | Sona | Bard
Frying Pan,D,5.48,+0.00,10.7%,103,0.0%,Karma | Urgot | Blitzcrank | Rhaast | Maokai
B.F. Sword,D,5.05,+0.00,8.5%,21622,3.5%,Jhin | Riven | Fiora | Samira | Karma
Spatula,D,5.59,+0.19,6.4%,953,0.2%,Riven | Karma | Blitzcrank | Shen | Rhaast
