Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.4%,278046,47.1%,Vex | Master Yi | Jhin | Corki | Graves
Protector's Vow,S,4.28,-0.33,14.9%,270849,45.9%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.37,-0.29,12.8%,266419,45.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Warmog's Armor,A,4.19,-0.28,14.9%,204554,34.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Jeweled Gauntlet,A,4.34,-0.26,14.2%,230172,39.0%,Aurelion Sol | Vex | Bard | Karma | Lulu
Adaptive Helm,A,4.15,-0.26,15.2%,176919,30.0%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Blitzcrank
Striker's Flail,A,4.17,-0.25,14.1%,179700,30.5%,Corki | Jhin | Aurelion Sol | Vex | Graves
Crownguard,A,4.17,-0.25,13.8%,178306,30.2%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Thief's Gloves,A,4.15,-0.25,16.2%,172744,29.3%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Deathblade,A,4.23,-0.23,12.5%,176084,29.9%,Corki | Jhin | Graves | Miss Fortune | Xayah
Spirit Visage,A,4.24,-0.22,14.0%,167967,28.5%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Guinsoo's Rageblade,A,4.47,-0.21,14.8%,236177,40.0%,Vex | Kindred | Xayah | LeBlanc | Diana
Sunfire Cape,A,4.37,-0.21,12.9%,195862,33.2%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Last Whisper,B,4.29,-0.20,11.1%,163999,27.8%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Spear of Shojin,B,4.24,-0.19,15.0%,149566,25.4%,Karma | Bard | Milio | Sona | Zed
Red Buff,B,4.16,-0.19,16.2%,133174,22.6%,Xayah | Vex | Milio | Kindred | Karma
Sterak's Gage,B,4.06,-0.19,14.7%,118213,20.0%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Void Staff,B,4.17,-0.19,15.2%,134018,22.7%,Karma | Bard | Sona | Vex | Milio
Infinity Edge,B,4.23,-0.18,15.0%,136571,23.2%,Jhin | Graves | Kai'Sa | Xayah | Miss Fortune
Rabadon's Deathcap,B,4.07,-0.18,16.5%,113271,19.2%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Edge of Night,B,4.18,-0.17,14.3%,125221,21.2%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.95,-0.17,15.3%,93618,15.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.22,-0.16,13.9%,124752,21.2%,Karma | Milio | Bard | Sona | Blitzcrank
Bloodthirster,B,4.20,-0.16,13.8%,116341,19.7%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.93,-0.15,15.9%,82249,13.9%,Riven | Fiora | Blitzcrank | Graves | Gragas
Steadfast Heart,B,3.97,-0.14,15.3%,79710,13.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.18,-0.12,13.6%,86186,14.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.12,14.7%,90473,15.3%,Master Yi | Graves | Fiora | Riven | Urgot
Hextech Gunblade,B,4.05,-0.11,17.1%,68180,11.6%,Vex | Bard | Karma | Jhin | Riven
Blue Buff,B,4.12,-0.11,14.5%,71536,12.1%,Karma | Corki | Bard | Sona | Kai'Sa
Nashor's Tooth,B,4.32,-0.10,13.7%,90347,15.3%,Lulu | Lissandra | Karma | Nami | Bard
Kraken's Fury,B,4.31,-0.10,14.8%,87004,14.8%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Ionic Spark,C,4.06,-0.09,16.3%,57573,9.8%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | The Mighty Mech
Evenshroud,C,4.30,-0.09,12.5%,75659,12.8%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.27,-0.08,13.5%,66471,11.3%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,4.00,-0.07,16.1%,43997,7.5%,Bard | Karma | Vex | Aurelion Sol | Milio
Tear of the Goddess,C,4.73,-0.01,9.7%,20979,3.6%,Milio | Nunu & Willump | Karma | Bard | Blitzcrank
Giant's Belt,C,4.85,-0.01,10.1%,29869,5.1%,Illaoi | The Mighty Mech | Nunu & Willump | Maokai | Tahm Kench
Chain Vest,C,4.79,-0.01,9.8%,21171,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Negatron Cloak,C,4.80,-0.01,9.8%,21173,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Needlessly Large Rod,C,4.83,-0.01,9.8%,21888,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.82,-0.01,9.4%,18324,3.1%,Milio | Blitzcrank | Jhin | Karma | Bard
Recurve Bow,C,4.88,-0.00,9.0%,24481,4.2%,Milio | Karma | Jhin | Bard | Sona
Frying Pan,D,5.83,+0.00,7.2%,83,0.0%,Maokai | Karma | Corki | Urgot | Bard
B.F. Sword,D,5.02,+0.00,8.8%,20379,3.5%,Jhin | Riven | Fiora | Kai'Sa | Milio
Spatula,D,5.47,+0.17,9.4%,890,0.2%,Karma | Riven | Milio | Blitzcrank | Kai'Sa
