Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.5%,162196,47.0%,Vex | Master Yi | Jhin | Graves | Bard
Protector's Vow,S,4.29,-0.34,14.8%,164883,47.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Warmog's Armor,A,4.19,-0.29,14.7%,125219,36.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Gargoyle Stoneplate,A,4.35,-0.29,13.0%,154743,44.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Adaptive Helm,A,4.14,-0.26,15.5%,105731,30.6%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Maokai
Guinsoo's Rageblade,A,4.43,-0.26,14.4%,160274,46.5%,Vex | Kindred | Xayah | LeBlanc | Diana
Jeweled Gauntlet,A,4.34,-0.26,13.7%,136642,39.6%,Vex | Aurelion Sol | Bard | Karma | Blitzcrank
Thief's Gloves,A,4.15,-0.26,16.2%,105271,30.5%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Striker's Flail,A,4.11,-0.24,15.2%,93391,27.1%,Corki | Jhin | Vex | Graves | Aurelion Sol
Crownguard,A,4.15,-0.23,14.2%,94760,27.5%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.26,-0.22,13.4%,103363,30.0%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Red Buff,A,4.20,-0.20,16.0%,88009,25.5%,Xayah | Vex | Kindred | Jhin | Milio
Deathblade,A,4.22,-0.20,13.4%,90118,26.1%,Corki | Jhin | Graves | Miss Fortune | Xayah
Void Staff,B,4.16,-0.20,14.9%,81671,23.7%,Karma | Bard | Sona | Vex | Blitzcrank
Sunfire Cape,B,4.39,-0.19,12.5%,110500,32.0%,Tahm Kench | Nunu & Willump | Illaoi | Maokai | Rammus
Spear of Shojin,B,4.25,-0.19,14.5%,85753,24.9%,Karma | Bard | Sona | Graves | Milio
Rabadon's Deathcap,B,4.06,-0.19,16.6%,68190,19.8%,Vex | Aurelion Sol | Bard | Karma | Blitzcrank
Infinity Edge,B,4.29,-0.18,14.1%,87599,25.4%,Jhin | Miss Fortune | Xayah | Graves | Kai'Sa
Sterak's Gage,B,4.08,-0.16,15.3%,61784,17.9%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Morellonomicon,B,4.21,-0.16,14.1%,69618,20.2%,Karma | Milio | Bard | Sona | Blitzcrank
Edge of Night,B,4.21,-0.16,13.7%,68798,19.9%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.96,-0.16,15.3%,51599,15.0%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Last Whisper,B,4.22,-0.15,11.9%,66115,19.2%,Corki | Jhin | Kindred | Xayah | Graves
Hand Of Justice,B,3.95,-0.15,15.6%,48370,14.0%,Fiora | Blitzcrank | Riven | Graves | Gragas
Bloodthirster,B,4.20,-0.14,14.4%,61643,17.9%,Riven | Fiora | Diana | Blitzcrank | Graves
Steadfast Heart,B,4.02,-0.14,14.8%,47715,13.8%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Dragon's Claw,B,4.15,-0.13,13.7%,51352,14.9%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Quicksilver,B,4.23,-0.12,15.0%,55990,16.2%,Master Yi | Graves | Fiora | Riven | Urgot
Kraken's Fury,B,4.40,-0.12,13.7%,68006,19.7%,Xayah | Kindred | Bel'Veth | Jhin | Graves
Hextech Gunblade,B,4.04,-0.12,17.0%,42355,12.3%,Vex | Bard | Jhin | LeBlanc | Karma
Nashor's Tooth,C,4.34,-0.10,12.4%,51889,15.0%,Lulu | Nami | Lissandra | Karma | Bard
Blue Buff,C,4.09,-0.10,15.2%,36134,10.5%,Karma | Sona | Bard | Corki | Milio
Ionic Spark,C,4.08,-0.09,15.3%,34224,9.9%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech
Archangel's Staff,C,3.97,-0.08,16.2%,27101,7.9%,Bard | Karma | Vex | Aurelion Sol | Viktor
Evenshroud,C,4.31,-0.08,12.1%,39818,11.5%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.28,-0.08,13.4%,36346,10.5%,Diana | Riven | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.74,-0.01,9.6%,12192,3.5%,Nunu & Willump | Karma | Milio | Bard | Blitzcrank
Giant's Belt,C,4.85,-0.01,10.0%,17241,5.0%,Nunu & Willump | Maokai | Illaoi | Tahm Kench | The Mighty Mech
Chain Vest,C,4.81,-0.01,10.0%,12362,3.6%,Nunu & Willump | Illaoi | Maokai | The Mighty Mech | Tahm Kench
Negatron Cloak,C,4.82,-0.01,9.5%,11975,3.5%,Illaoi | Nunu & Willump | The Mighty Mech | Maokai | Mordekaiser
Needlessly Large Rod,C,4.85,-0.01,9.3%,12273,3.6%,Karma | Milio | Blitzcrank | Bard | Sona
Sparring Gloves,C,4.85,-0.00,9.7%,10370,3.0%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.93,-0.00,8.8%,14009,4.1%,Karma | Milio | Jhin | Bard | Sona
Frying Pan,D,6.07,+0.00,7.3%,41,0.0%,Karma | Blitzcrank | Rhaast | Meepsie | Aatrox
B.F. Sword,D,5.02,+0.00,8.7%,11922,3.5%,Jhin | Riven | Fiora | Karma | Graves
Spatula,D,5.43,+0.15,5.6%,443,0.1%,Karma | Riven | Milio | Rhaast | Blitzcrank
