Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.33,14.2%,1499963,40.2%,Vex | LeBlanc | Bel'Veth | Jhin | Kindred
Gargoyle Stoneplate,A,4.37,-0.30,13.3%,1766242,47.3%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Sunfire Cape,A,4.35,-0.29,13.3%,1669431,44.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Jeweled Gauntlet,A,4.37,-0.28,13.3%,1662009,44.5%,Nami | Viktor | Aurelion Sol | Vex | Karma
Warmog's Armor,A,4.22,-0.28,14.2%,1329318,35.6%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Guinsoo's Rageblade,A,4.47,-0.27,13.0%,1935923,51.9%,Vex | Xayah | LeBlanc | Kindred | Jhin
Spirit Visage,A,4.29,-0.25,13.5%,1332762,35.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Protector's Vow,A,4.08,-0.25,16.1%,1014594,27.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Jax
Thief's Gloves,A,4.12,-0.24,15.7%,1016376,27.2%,Blitzcrank | Shen | Morgana | Rhaast | Fiora
Void Staff,A,4.12,-0.22,15.4%,929899,24.9%,Nami | Karma | Vex | Aurelion Sol | Bard
Spear of Shojin,A,4.29,-0.22,13.8%,1131928,30.3%,Nami | Karma | Bard | Samira | Corki
Striker's Flail,B,4.10,-0.20,15.4%,827066,22.2%,Jhin | Vex | Corki | Graves | Kai'Sa
Adaptive Helm,B,3.95,-0.20,16.6%,691728,18.5%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.23,-0.19,13.6%,938818,25.2%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Hand Of Justice,B,4.12,-0.19,14.8%,804262,21.6%,Fiora | Blitzcrank | Akali | Riven | Graves
Infinity Edge,B,4.40,-0.18,13.5%,1116121,29.9%,Jhin | Xayah | Kai'Sa | Samira | Graves
Steadfast Heart,B,4.05,-0.17,15.1%,668135,17.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Edge of Night,B,4.07,-0.17,15.6%,670088,18.0%,Fiora | Master Yi | Riven | Akali | Pyke
