Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Gargoyle Stoneplate,S,4.36,-0.36,13.2%,341240,56.3%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Leona
Giant Slayer,S,4.18,-0.34,14.4%,254417,41.9%,Vex | Master Yi | Jhin | Bard | Graves
Warmog's Armor,S,4.19,-0.34,14.8%,254991,42.0%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Jeweled Gauntlet,A,4.33,-0.29,13.9%,261137,43.1%,Nami | Bard | Vex | Blitzcrank | Aurelion Sol
Protector's Vow,A,4.28,-0.29,14.8%,241324,39.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Ornn
Spear of Shojin,A,4.25,-0.27,14.7%,217486,35.9%,Samira | Nami | Sona | Karma | Bard
Thief's Gloves,A,4.16,-0.24,15.8%,173289,28.6%,Blitzcrank | Shen | Fiora | Maokai | Illaoi
Adaptive Helm,A,4.11,-0.24,15.5%,161948,26.7%,Nunu & Willump | Blitzcrank | Tahm Kench | Rammus | Bard
Deathblade,A,4.25,-0.24,13.8%,190026,31.3%,Samira | Corki | Jhin | Miss Fortune | Graves
Spirit Visage,A,4.27,-0.24,13.4%,195237,32.2%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Last Whisper,A,4.24,-0.21,13.4%,169264,27.9%,Samira | Corki | Jhin | Kindred | Graves
Striker's Flail,A,4.09,-0.21,15.2%,140519,23.2%,Corki | Jhin | Bard | Vex | Graves
Void Staff,A,4.13,-0.21,15.4%,146850,24.2%,Karma | Sona | Bard | Nami | Blitzcrank
Crownguard,A,4.14,-0.21,14.3%,147326,24.3%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Ornn
Red Buff,A,4.16,-0.21,15.8%,148356,24.5%,Xayah | Vex | Nami | Jhin | Kindred
Guinsoo's Rageblade,A,4.48,-0.20,13.3%,233045,38.4%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Rabadon's Deathcap,B,4.03,-0.19,16.4%,120919,19.9%,Bard | Nami | Aurelion Sol | Blitzcrank | Vex
Morellonomicon,B,4.16,-0.19,14.8%,139283,23.0%,Nami | Sona | Karma | Bard | Milio
Infinity Edge,B,4.31,-0.18,13.7%,157195,25.9%,Jhin | Samira | Miss Fortune | Graves | Gnar
Sunfire Cape,B,4.37,-0.18,12.4%,168826,27.8%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Illaoi
Bramble Vest,B,3.99,-0.15,14.9%,92428,15.2%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Hand Of Justice,B,3.93,-0.14,15.5%,80450,13.3%,Blitzcrank | Fiora | Riven | Urgot | Pyke
Nashor's Tooth,B,4.28,-0.14,13.6%,113167,18.7%,Nami | Lulu | Lissandra | Karma | Bard
Sterak's Gage,B,4.14,-0.13,14.7%,94671,15.6%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Edge of Night,B,4.22,-0.13,13.5%,104742,17.3%,Master Yi | Fiora | Pyke | Riven | Zed
Steadfast Heart,B,4.01,-0.13,15.0%,80898,13.3%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Bloodthirster,B,4.23,-0.13,14.0%,101934,16.8%,Riven | Fiora | Blitzcrank | Diana | Jax
Dragon's Claw,B,4.16,-0.12,13.9%,86391,14.2%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Hextech Gunblade,B,4.03,-0.11,16.5%,67093,11.1%,Vex | Bard | Blitzcrank | Jhin | LeBlanc
Blue Buff,B,4.06,-0.11,15.3%,68446,11.3%,Sona | Nami | Karma | Bard | Corki
Quicksilver,B,4.23,-0.10,14.6%,82076,13.5%,Master Yi | Graves | Fiora | Riven | Urgot
Kraken's Fury,C,4.33,-0.10,14.0%,90010,14.8%,Xayah | Kindred | Gnar | Bel'Veth | Jhin
Ionic Spark,C,4.04,-0.10,16.0%,61706,10.2%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Archangel's Staff,C,3.97,-0.08,16.0%,49320,8.1%,Bard | Nami | Karma | LeBlanc | Sona
Evenshroud,C,4.29,-0.07,12.4%,64192,10.6%,Tahm Kench | Maokai | Rammus | Ornn | Nunu & Willump
Titan's Resolve,C,4.28,-0.07,13.7%,56847,9.4%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.72,-0.01,10.2%,22222,3.7%,Nunu & Willump | Blitzcrank | Karma | Nami | Bard
Negatron Cloak,C,4.78,-0.01,9.9%,21833,3.6%,Illaoi | Nunu & Willump | Ornn | Maokai | Blitzcrank
Chain Vest,C,4.82,-0.01,9.7%,22682,3.7%,Nunu & Willump | Illaoi | Maokai | Ornn | Tahm Kench
Needlessly Large Rod,C,4.83,-0.01,9.7%,23614,3.9%,Blitzcrank | Nami | Karma | Bard | Milio
Giant's Belt,C,4.89,-0.01,9.7%,29857,4.9%,Illaoi | Nunu & Willump | Maokai | Tahm Kench | Ornn
Sparring Gloves,C,4.86,-0.00,9.2%,19038,3.1%,Blitzcrank | Jhin | Karma | Nami | Milio
Recurve Bow,C,4.92,-0.00,9.3%,25386,4.2%,Jhin | Karma | Nami | Milio | Sona
Frying Pan,D,5.77,+0.00,10.4%,115,0.0%,Blitzcrank | Ornn | Karma | Gwen | Shen
B.F. Sword,D,5.03,+0.00,8.7%,21618,3.6%,Jhin | Samira | Riven | Fiora | Karma
Spatula,D,5.65,+0.21,7.6%,998,0.2%,Riven | Blitzcrank | Karma | Shen | Nami
