Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.35,14.4%,162723,44.8%,Vex | Master Yi | Jhin | Graves | Bard
Protector's Vow,S,4.30,-0.32,14.7%,165677,45.6%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gargoyle Stoneplate,S,4.35,-0.31,13.1%,172639,47.5%,Nunu & Willump | Rammus | Leona | Tahm Kench | Ornn
Warmog's Armor,A,4.18,-0.30,14.8%,132731,36.5%,Nunu & Willump | Tahm Kench | Ornn | Maokai | Rammus
Jeweled Gauntlet,A,4.34,-0.27,13.9%,150551,41.5%,Vex | Bard | Nami | Aurelion Sol | Blitzcrank
Adaptive Helm,A,4.14,-0.25,15.4%,106512,29.3%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Maokai
Thief's Gloves,A,4.17,-0.25,15.8%,108569,29.9%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Striker's Flail,A,4.12,-0.23,14.9%,96131,26.5%,Corki | Jhin | Vex | Graves | Bard
Spirit Visage,A,4.25,-0.23,13.5%,112238,30.9%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Maokai
Crownguard,A,4.15,-0.23,14.2%,97884,27.0%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Deathblade,A,4.21,-0.22,13.6%,101503,27.9%,Corki | Jhin | Miss Fortune | Graves | Samira
Guinsoo's Rageblade,A,4.48,-0.22,13.7%,154318,42.5%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Spear of Shojin,A,4.22,-0.21,15.0%,96677,26.6%,Karma | Bard | Sona | Samira | Nami
Red Buff,B,4.20,-0.20,15.9%,90433,24.9%,Xayah | Vex | Kindred | Jhin | Karma
Void Staff,B,4.19,-0.19,15.0%,86372,23.8%,Karma | Bard | Sona | Vex | Blitzcrank
Sunfire Cape,B,4.37,-0.19,12.6%,110424,30.4%,Tahm Kench | Nunu & Willump | Maokai | Illaoi | Ornn
Infinity Edge,B,4.28,-0.19,14.1%,96167,26.5%,Jhin | Miss Fortune | Graves | Xayah | Samira
