Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,87169,49.4%,Master Yi | Kindred | Jhin | Bel'Veth | Vex
Gargoyle Stoneplate,A,4.33,-0.29,13.9%,77444,43.9%,Leona | Jax | Nunu & Willump | Rammus | The Mighty Mech
Guinsoo's Rageblade,A,4.38,-0.29,13.4%,81694,46.3%,Kindred | Vex | Xayah | Teemo | LeBlanc
Protector's Vow,A,4.15,-0.28,15.5%,58836,33.3%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Rek'Sai
Sunfire Cape,A,4.39,-0.27,13.2%,78154,44.3%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.15,-0.26,14.8%,54582,30.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Thief's Gloves,A,4.09,-0.25,15.6%,47815,27.1%,Blitzcrank | Fiora | Maokai | Illaoi | Mordekaiser
Striker's Flail,A,4.07,-0.23,15.5%,44459,25.2%,Corki | Kai'Sa | Jhin | Kindred | Vex
Crownguard,A,4.09,-0.22,15.1%,43586,24.7%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Adaptive Helm,A,4.09,-0.22,15.3%,43206,24.5%,Nunu & Willump | Rammus | Tahm Kench | Karma | Maokai
Spirit Visage,A,4.29,-0.22,13.7%,55241,31.3%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Cho'Gath
Spear of Shojin,A,4.33,-0.22,14.1%,57574,32.6%,Karma | Ezreal | Corki | Kai'Sa | Nami
Sterak's Gage,A,4.08,-0.21,15.5%,40030,22.7%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.12,-0.21,15.1%,41836,23.7%,Master Yi | Fiora | Riven | Talon | Zed
Jeweled Gauntlet,B,4.41,-0.19,13.6%,57874,32.8%,Karma | Lulu | Nami | Vex | Aurora
Last Whisper,B,4.18,-0.18,14.6%,39186,22.2%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Infinity Edge,B,4.41,-0.18,14.1%,53862,30.5%,Jhin | Kai'Sa | Ezreal | Xayah | Urgot
Deathblade,B,4.10,-0.18,15.2%,34447,19.5%,Corki | Jhin | Kindred | Ezreal | Kai'Sa
Evenshroud,B,4.33,-0.18,13.6%,46183,26.2%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Rek'Sai
Bloodthirster,B,4.22,-0.17,13.8%,39090,22.1%,Riven | Briar | Fiora | Master Yi | Blitzcrank
Void Staff,B,4.21,-0.17,15.0%,38305,21.7%,Karma | Bard | Lissandra | Zoe | Nami
Quicksilver,B,4.30,-0.17,13.3%,43235,24.5%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Hand Of Justice,B,4.06,-0.17,15.0%,31852,18.0%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Bramble Vest,B,3.91,-0.16,16.3%,26542,15.0%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | Maokai
Rabadon's Deathcap,B,4.10,-0.16,15.6%,30486,17.3%,Twisted Fate | Karma | Teemo | Vex | Aurora
Hextech Gunblade,B,4.09,-0.15,15.2%,29635,16.8%,Teemo | Vex | LeBlanc | Kindred | Talon
Steadfast Heart,B,4.04,-0.15,15.6%,28084,15.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Red Buff,B,4.09,-0.15,16.0%,29466,16.7%,Kindred | Jhin | Karma | Xayah | Kai'Sa
Morellonomicon,B,4.21,-0.14,14.5%,31104,17.6%,Karma | Bard | Zoe | Milio | Lissandra
Kraken's Fury,B,4.18,-0.12,13.8%,26349,14.9%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Blue Buff,B,4.20,-0.12,14.7%,26633,15.1%,Kai'Sa | Karma | Corki | Bard | Aurora
Titan's Resolve,B,4.27,-0.12,12.9%,28434,16.1%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Nashor's Tooth,B,4.37,-0.12,13.3%,32644,18.5%,Twisted Fate | Lulu | Karma | Nami | Veigar
Dragon's Claw,B,4.32,-0.10,13.0%,26479,15.0%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Archangel's Staff,C,4.18,-0.08,14.7%,18069,10.2%,Karma | Viktor | Aurelion Sol | Aurora | Bard
Ionic Spark,C,4.22,-0.08,14.2%,17596,10.0%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Rammus
Tear of the Goddess,C,4.75,-0.01,10.0%,6227,3.5%,Karma | Bard | Nunu & Willump | Maokai | Milio
Negatron Cloak,C,4.81,-0.01,9.2%,6095,3.5%,Illaoi | Maokai | Mordekaiser | Nunu & Willump | Tahm Kench
Giant's Belt,C,4.88,-0.01,9.8%,8194,4.6%,Maokai | Illaoi | Tahm Kench | Nunu & Willump | Mordekaiser
Needlessly Large Rod,C,4.85,-0.01,9.6%,6268,3.5%,Karma | Milio | Bard | Lissandra | Kindred
Sparring Gloves,C,4.84,-0.00,9.6%,5079,2.9%,Jhin | Karma | Kai'Sa | Milio | Riven
Chain Vest,C,4.85,-0.00,9.3%,5706,3.2%,Maokai | Illaoi | Mordekaiser | Tahm Kench | Nunu & Willump
Recurve Bow,C,4.92,-0.00,9.1%,6853,3.9%,Karma | Jhin | Kindred | Milio | Lissandra
B.F. Sword,C,4.94,-0.00,8.9%,5499,3.1%,Jhin | Riven | Kai'Sa | Kindred | Urgot
Frying Pan,D,6.68,+0.00,4.0%,25,0.0%,Kindred | Karma | Lissandra | Maokai | Mordekaiser
Spatula,D,5.53,+0.17,7.7%,235,0.1%,Riven | Karma | Kindred | Urgot | Lissandra
