Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.34,14.0%,2435453,41.9%,Vex | Bel'Veth | Jhin | Urgot | LeBlanc
Gargoyle Stoneplate,S,4.35,-0.32,13.3%,2840257,48.8%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Sunfire Cape,A,4.34,-0.29,13.5%,2574152,44.3%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Warmog's Armor,A,4.21,-0.29,14.3%,2155112,37.1%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Jeweled Gauntlet,A,4.34,-0.28,13.1%,2430123,41.8%,Nami | Viktor | Aurelion Sol | Karma | Vex
Guinsoo's Rageblade,A,4.49,-0.27,13.2%,3063705,52.7%,Xayah | Vex | Kindred | LeBlanc | Teemo
Protector's Vow,A,4.11,-0.26,16.4%,1710182,29.4%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Spirit Visage,A,4.27,-0.26,13.8%,2056270,35.4%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Thief's Gloves,A,4.12,-0.23,15.5%,1530534,26.3%,Blitzcrank | Shen | Rhaast | Mordekaiser | Morgana
Spear of Shojin,A,4.26,-0.22,13.6%,1775079,30.5%,Nami | Karma | Bard | Samira | Corki
Infinity Edge,A,4.39,-0.21,14.3%,1990551,34.2%,Xayah | Jhin | Kai'Sa | Urgot | Samira
Void Staff,A,4.07,-0.21,15.4%,1309453,22.5%,Nami | Karma | Bard | Aurelion Sol | Lissandra
Adaptive Helm,B,3.94,-0.20,16.8%,1078381,18.5%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.20,-0.19,14.0%,1396201,24.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Striker's Flail,B,4.08,-0.19,15.5%,1199544,20.6%,Jhin | Corki | Vex | Graves | Nami
Hand Of Justice,B,4.12,-0.18,14.3%,1188297,20.4%,Fiora | Akali | Blitzcrank | Riven | Graves
Rabadon's Deathcap,B,4.06,-0.18,14.9%,1096617,18.9%,Twisted Fate | Viktor | Aurelion Sol | Nami | Vex
Steadfast Heart,B,3.99,-0.17,15.6%,995930,17.1%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Crownguard,B,3.85,-0.17,16.9%,841481,14.5%,Nunu & Willump | Rammus | Blitzcrank | Jax | Tahm Kench
Edge of Night,B,4.05,-0.16,15.2%,971883,16.7%,Fiora | Riven | Master Yi | Akali | Pyke
Bramble Vest,B,4.01,-0.16,15.0%,921545,15.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Bloodthirster,B,4.31,-0.15,14.2%,1247054,21.4%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Nashor's Tooth,B,4.29,-0.15,12.5%,1217856,20.9%,Nami | Twisted Fate | Veigar | Karma | Fizz
Hextech Gunblade,B,4.11,-0.14,15.2%,939641,16.2%,Vex | Teemo | LeBlanc | Jhin | Bard
Deathblade,B,4.11,-0.14,15.6%,896138,15.4%,Jhin | Xayah | Corki | Kindred | Caitlyn
Sterak's Gage,B,4.17,-0.13,16.3%,917540,15.8%,The Mighty Mech | Fiora | Riven | Graves | Urgot
Quicksilver,B,4.15,-0.13,14.0%,879410,15.1%,Bel'Veth | Urgot | Graves | Fiora | Master Yi
Archangel's Staff,B,4.18,-0.12,13.4%,887303,15.3%,Viktor | Aurelion Sol | Karma | Vex | Nami
Red Buff,B,3.96,-0.12,17.1%,684693,11.8%,Xayah | Karma | Jhin | Nami | Vex
Morellonomicon,B,3.96,-0.12,16.4%,652741,11.2%,Karma | Bard | Nami | Blitzcrank | Lissandra
Evenshroud,B,4.26,-0.11,15.5%,886457,15.2%,Nunu & Willump | Rammus | Ornn | Maokai | Tahm Kench
Kraken's Fury,B,4.25,-0.11,13.5%,870541,15.0%,Xayah | Bel'Veth | Kindred | Caitlyn | Jhin
Last Whisper,B,4.10,-0.11,16.9%,716658,12.3%,Jhin | Xayah | Corki | Samira | Kai'Sa
Ionic Spark,B,4.05,-0.10,14.9%,632729,10.9%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Blue Buff,C,4.20,-0.09,14.1%,658584,11.3%,Karma | Nami | Bard | Kai'Sa | Corki
Titan's Resolve,C,4.40,-0.08,13.6%,806033,13.9%,Riven | The Mighty Mech | Fiora | Master Yi | Blitzcrank
Tear of the Goddess,C,4.72,-0.01,10.5%,234660,4.0%,Bard | Karma | Nunu & Willump | Morgana | Blitzcrank
Negatron Cloak,C,4.78,-0.01,10.2%,237763,4.1%,Mordekaiser | Nunu & Willump | Illaoi | Rammus | Rhaast
Chain Vest,C,4.78,-0.01,10.3%,235583,4.1%,Nunu & Willump | Mordekaiser | Rhaast | Rammus | Tahm Kench
Giant's Belt,C,4.85,-0.01,10.1%,311823,5.4%,Nunu & Willump | Tahm Kench | Mordekaiser | Illaoi | Rammus
Needlessly Large Rod,C,4.82,-0.01,9.9%,238598,4.1%,Bard | Karma | Blitzcrank | Lissandra | Morgana
Sparring Gloves,C,4.82,-0.01,9.8%,208600,3.6%,Jhin | Karma | Blitzcrank | Bard | Lissandra
Recurve Bow,C,4.85,-0.01,9.9%,252877,4.3%,Karma | Bard | Lissandra | Jhin | Xayah
B.F. Sword,C,4.92,-0.00,9.3%,228707,3.9%,Jhin | Pyke | Fiora | Gnar | Caitlyn
Frying Pan,D,5.45,+0.00,6.9%,1699,0.0%,Rhaast | Karma | Blitzcrank | Ornn | Meepsie
Spatula,D,5.80,+0.23,4.8%,8105,0.1%,Riven | Karma | Lissandra | Bard | Jhin
