Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.40,14.3%,18597,49.3%,Urgot | Vex | Bel'Veth | Jhin | Master Yi
Guinsoo's Rageblade,A,4.37,-0.30,13.5%,17760,47.1%,Xayah | Vex | Kindred | Teemo | LeBlanc
Gargoyle Stoneplate,A,4.34,-0.29,14.0%,16570,43.9%,Leona | Nunu & Willump | Jax | Rammus | The Mighty Mech
Sunfire Cape,A,4.37,-0.28,13.2%,16883,44.7%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Protector's Vow,A,4.19,-0.27,15.7%,12659,33.5%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Rek'Sai
Warmog's Armor,A,4.18,-0.26,14.3%,11902,31.5%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Thief's Gloves,A,4.09,-0.25,15.5%,10340,27.4%,Blitzcrank | Rhaast | Illaoi | Mordekaiser | Shen
Adaptive Helm,A,4.07,-0.23,15.8%,9283,24.6%,Nunu & Willump | Tahm Kench | Rammus | Karma | Bard
Spirit Visage,A,4.28,-0.23,13.6%,12046,31.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Striker's Flail,A,4.08,-0.22,15.4%,9161,24.3%,Jhin | Corki | Kai'Sa | Kindred | Vex
Crownguard,A,4.09,-0.22,15.2%,9182,24.3%,Nunu & Willump | Rammus | Tahm Kench | Jax | Maokai
Spear of Shojin,A,4.35,-0.22,14.2%,12542,33.2%,Karma | Nami | Ezreal | Corki | Aurora
Sterak's Gage,A,4.04,-0.21,15.8%,8186,21.7%,Briar | The Mighty Mech | Fiora | Riven | Graves
Edge of Night,A,4.10,-0.20,15.4%,8471,22.4%,Master Yi | Fiora | Riven | Pyke | Talon
Jeweled Gauntlet,B,4.44,-0.19,13.0%,12852,34.1%,Nami | Karma | Viktor | Vex | Aurora
Void Staff,B,4.22,-0.18,14.5%,8725,23.1%,Karma | Nami | Bard | Lissandra | Zoe
Hand Of Justice,B,4.02,-0.18,15.3%,6894,18.3%,Fiora | Riven | Blitzcrank | Master Yi | Akali
Quicksilver,B,4.28,-0.18,13.6%,9291,24.6%,Urgot | Bel'Veth | Master Yi | Fiora | Graves
Evenshroud,B,4.30,-0.17,13.6%,9450,25.0%,Maokai | Tahm Kench | Rammus | Nunu & Willump | Rek'Sai
Infinity Edge,B,4.43,-0.17,14.2%,11433,30.3%,Jhin | Xayah | Urgot | Kai'Sa | Ezreal
Bloodthirster,B,4.21,-0.17,14.1%,8129,21.5%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Deathblade,B,4.10,-0.17,15.8%,7037,18.6%,Jhin | Corki | Kindred | Ezreal | Caitlyn
Last Whisper,B,4.17,-0.16,15.8%,7456,19.8%,Jhin | Corki | Kindred | Xayah | Kai'Sa
Rabadon's Deathcap,B,4.11,-0.16,15.3%,6780,18.0%,Twisted Fate | Karma | Aurora | Vex | Viktor
