Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.23,-0.38,14.3%,268234,48.7%,Master Yi | Vex | Corki | Jhin | Aurelion Sol
Protector's Vow,S,4.26,-0.32,14.8%,240206,43.6%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.38,-0.29,12.9%,255556,46.4%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.17,-0.28,14.9%,186756,33.9%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Jeweled Gauntlet,A,4.35,-0.26,14.2%,221014,40.2%,Aurelion Sol | Karma | Vex | Lulu | Bard
Crownguard,A,4.16,-0.25,14.0%,163768,29.8%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Blitzcrank
Adaptive Helm,A,4.15,-0.25,15.2%,159117,28.9%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Bard
Thief's Gloves,A,4.13,-0.25,16.4%,154901,28.1%,Blitzcrank | Fiora | Shen | The Mighty Mech | Maokai
Striker's Flail,A,4.20,-0.24,13.7%,169002,30.7%,Corki | Aurelion Sol | Jhin | Vex | Graves
Sunfire Cape,A,4.36,-0.23,13.2%,194892,35.4%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Deathblade,A,4.25,-0.21,12.3%,157674,28.6%,Corki | Jhin | Graves | Kindred | Xayah
Spirit Visage,A,4.24,-0.21,14.0%,154651,28.1%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.46,-0.21,15.0%,214229,38.9%,Vex | Kindred | Xayah | LeBlanc | Diana
Last Whisper,B,4.31,-0.20,11.3%,158211,28.7%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Spear of Shojin,B,4.25,-0.19,14.9%,142451,25.9%,Karma | Bard | Milio | Sona | Zed
Void Staff,B,4.18,-0.19,15.2%,129989,23.6%,Karma | Bard | Sona | Vex | Milio
Sterak's Gage,B,4.08,-0.19,14.6%,113558,20.6%,Riven | Fiora | The Mighty Mech | Graves | Briar
Edge of Night,B,4.16,-0.18,14.8%,117650,21.4%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.11,-0.18,16.0%,110147,20.0%,Aurelion Sol | Vex | Bard | Karma | Milio
Red Buff,B,4.16,-0.17,16.0%,111712,20.3%,Xayah | Vex | Milio | Karma | Kindred
Infinity Edge,B,4.25,-0.17,15.0%,125159,22.7%,Jhin | Kai'Sa | Corki | Xayah | Miss Fortune
Bramble Vest,B,3.95,-0.17,15.2%,89232,16.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.21,-0.17,14.0%,115981,21.1%,Karma | Milio | Bard | Sona | Blitzcrank
Bloodthirster,B,4.20,-0.16,13.7%,111163,20.2%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.94,-0.15,15.8%,78582,14.3%,Riven | Fiora | Blitzcrank | Gragas | Graves
Steadfast Heart,B,3.95,-0.14,15.7%,74153,13.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.18,-0.13,13.6%,85424,15.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.11,14.8%,82349,15.0%,Master Yi | Graves | Riven | Fiora | Urgot
Hextech Gunblade,B,4.05,-0.11,17.3%,64076,11.6%,Vex | Karma | Bard | Riven | LeBlanc
Blue Buff,B,4.15,-0.11,14.2%,71266,12.9%,Karma | Corki | Bard | Kai'Sa | Sona
Nashor's Tooth,B,4.32,-0.11,14.0%,86523,15.7%,Lulu | Karma | Lissandra | Nami | Milio
Evenshroud,C,4.31,-0.10,12.8%,79449,14.4%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Ionic Spark,C,4.08,-0.09,16.2%,55635,10.1%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Kraken's Fury,C,4.28,-0.09,14.6%,67854,12.3%,Xayah | Kindred | Jhin | Bel'Veth | Graves
Titan's Resolve,C,4.29,-0.08,13.8%,64422,11.7%,Riven | Diana | Fiora | Jax | Briar
Archangel's Staff,C,4.00,-0.08,16.2%,45280,8.2%,Karma | Bard | Aurelion Sol | Vex | Milio
Tear of the Goddess,C,4.71,-0.01,10.1%,19812,3.6%,Milio | Karma | Nunu & Willump | Bard | Blitzcrank
Negatron Cloak,C,4.79,-0.01,9.6%,19648,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Mordekaiser | Maokai
Giant's Belt,C,4.87,-0.01,9.8%,27256,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Tahm Kench
Chain Vest,C,4.83,-0.01,10.0%,19618,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Needlessly Large Rod,C,4.84,-0.01,9.5%,20601,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.81,-0.01,9.7%,16949,3.1%,Milio | Karma | Jhin | Blitzcrank | Bard
Recurve Bow,C,4.86,-0.01,9.5%,22953,4.2%,Milio | Karma | Jhin | Bard | Riven
Frying Pan,D,5.37,+0.00,14.3%,63,0.0%,Karma | Blitzcrank | The Mighty Mech | Rhaast | Riven
B.F. Sword,D,5.01,+0.00,8.7%,19016,3.5%,Jhin | Riven | Fiora | Kai'Sa | Karma
Spatula,D,5.49,+0.17,8.5%,812,0.1%,Karma | Riven | Milio | Kai'Sa | Bard
