Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.5%,282810,47.1%,Vex | Master Yi | Jhin | Graves | Bard
Protector's Vow,S,4.30,-0.33,14.8%,287090,47.9%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gargoyle Stoneplate,A,4.35,-0.30,12.9%,273771,45.6%,Nunu & Willump | Leona | Rammus | Tahm Kench | Illaoi
Warmog's Armor,A,4.20,-0.29,14.7%,216968,36.2%,Nunu & Willump | Tahm Kench | Maokai | Illaoi | Rammus
Guinsoo's Rageblade,A,4.45,-0.27,14.4%,287286,47.9%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Thief's Gloves,A,4.16,-0.26,16.3%,187340,31.2%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Jeweled Gauntlet,A,4.34,-0.26,13.8%,237573,39.6%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Adaptive Helm,A,4.14,-0.26,15.5%,182200,30.4%,Nunu & Willump | Tahm Kench | Blitzcrank | Rammus | Bard
Striker's Flail,A,4.11,-0.24,15.0%,163786,27.3%,Corki | Jhin | Vex | Graves | Bard
Crownguard,A,4.13,-0.23,14.2%,158874,26.5%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.27,-0.22,13.2%,180317,30.1%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Leona
Red Buff,A,4.20,-0.21,16.0%,156931,26.2%,Xayah | Vex | Kindred | Jhin | Karma
Deathblade,A,4.22,-0.21,13.2%,159366,26.6%,Corki | Jhin | Miss Fortune | Graves | Xayah
Void Staff,A,4.17,-0.20,15.1%,145321,24.2%,Karma | Bard | Sona | Vex | Blitzcrank
Rabadon's Deathcap,B,4.04,-0.19,16.8%,120107,20.0%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Sunfire Cape,B,4.39,-0.19,12.4%,183800,30.6%,Tahm Kench | Nunu & Willump | Illaoi | Maokai | Rammus
Spear of Shojin,B,4.24,-0.18,14.5%,145078,24.2%,Bard | Karma | Sona | Graves | Zed
Infinity Edge,B,4.27,-0.18,14.1%,146099,24.4%,Jhin | Miss Fortune | Graves | Xayah | Kindred
Sterak's Gage,B,4.07,-0.17,15.5%,109982,18.3%,Riven | Fiora | Graves | Urgot | The Mighty Mech
Morellonomicon,B,4.22,-0.16,14.0%,125033,20.8%,Karma | Bard | Sona | Milio | Vex
Edge of Night,B,4.19,-0.16,13.9%,118031,19.7%,Master Yi | Fiora | Riven | Zed | Pyke
Hand Of Justice,B,3.93,-0.15,15.8%,84874,14.1%,Blitzcrank | Fiora | Riven | Graves | Urgot
Bramble Vest,B,3.97,-0.15,15.1%,86198,14.4%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Bloodthirster,B,4.18,-0.15,14.4%,107195,17.9%,Riven | Fiora | Diana | Blitzcrank | Graves
Last Whisper,B,4.24,-0.14,11.4%,114302,19.1%,Corki | Jhin | Kindred | Graves | Xayah
Steadfast Heart,B,4.03,-0.13,14.3%,81100,13.5%,Nunu & Willump | Tahm Kench | Illaoi | Maokai | Rammus
Quicksilver,B,4.22,-0.13,15.1%,99649,16.6%,Graves | Master Yi | Fiora | Urgot | Bel'Veth
Dragon's Claw,B,4.17,-0.13,13.5%,90251,15.0%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Maokai
Hextech Gunblade,B,4.06,-0.12,16.9%,76124,12.7%,Vex | Bard | LeBlanc | Jhin | Blitzcrank
Kraken's Fury,B,4.36,-0.12,14.0%,110165,18.4%,Xayah | Kindred | Bel'Veth | Graves | Jhin
Blue Buff,C,4.07,-0.10,15.0%,63077,10.5%,Sona | Karma | Bard | Corki | Milio
Nashor's Tooth,C,4.32,-0.10,12.7%,84910,14.2%,Lulu | Nami | Karma | Lissandra | Bard
Ionic Spark,C,4.10,-0.09,15.3%,56706,9.5%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | Leona
Archangel's Staff,C,3.95,-0.08,16.2%,47284,7.9%,Bard | Vex | Karma | Sona | Viktor
Titan's Resolve,C,4.25,-0.08,13.9%,62688,10.5%,Diana | Riven | Fiora | Jax | Blitzcrank
