Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,134416,49.4%,Master Yi | Kindred | Corki | Jhin | Teemo
Gargoyle Stoneplate,A,4.35,-0.29,13.6%,121829,44.8%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.14,-0.28,15.4%,88073,32.4%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Jax
Sunfire Cape,A,4.39,-0.27,13.1%,118358,43.5%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.13,-0.27,14.9%,83132,30.6%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Leona
Guinsoo's Rageblade,A,4.40,-0.26,13.4%,118742,43.7%,Kindred | Vex | Teemo | Xayah | LeBlanc
Thief's Gloves,A,4.10,-0.24,15.5%,72169,26.5%,Blitzcrank | Fiora | Maokai | Urgot | Mordekaiser
Striker's Flail,A,4.11,-0.23,14.9%,70824,26.0%,Corki | Kai'Sa | Jhin | Kindred | Karma
Crownguard,A,4.12,-0.23,15.0%,71104,26.2%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Spirit Visage,A,4.27,-0.22,13.7%,81992,30.2%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Adaptive Helm,A,4.12,-0.22,15.2%,67437,24.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Sterak's Gage,A,4.08,-0.21,15.2%,63487,23.3%,Riven | Briar | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.15,-0.21,15.0%,68247,25.1%,Master Yi | Fiora | Riven | Zed | Talon
Spear of Shojin,A,4.33,-0.21,14.3%,85340,31.4%,Karma | Kai'Sa | Corki | Milio | Ezreal
Last Whisper,B,4.23,-0.20,13.8%,69642,25.6%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Infinity Edge,B,4.37,-0.19,14.2%,81362,29.9%,Kai'Sa | Jhin | Corki | Ezreal | Xayah
Jeweled Gauntlet,B,4.41,-0.19,14.0%,87000,32.0%,Karma | Lulu | Nami | Bard | Vex
Deathblade,B,4.11,-0.19,14.6%,57483,21.1%,Corki | Jhin | Kindred | Kai'Sa | Ezreal
Evenshroud,B,4.31,-0.19,14.0%,73292,27.0%,Tahm Kench | Maokai | Rammus | Rek'Sai | Nunu & Willump
Bloodthirster,B,4.20,-0.18,13.6%,62131,22.9%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Bramble Vest,B,3.91,-0.18,16.0%,44862,16.5%,Rammus | Tahm Kench | Nunu & Willump | Maokai | Illaoi
Hand Of Justice,B,4.02,-0.18,15.3%,49111,18.1%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Quicksilver,B,4.29,-0.16,13.5%,63366,23.3%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Void Staff,B,4.19,-0.16,15.3%,54845,20.2%,Karma | Zoe | Bard | Lissandra | Nami
Red Buff,B,4.07,-0.16,16.2%,46043,16.9%,Kindred | Karma | Jhin | Milio | Kai'Sa
Rabadon's Deathcap,B,4.08,-0.16,15.6%,46285,17.0%,Karma | Twisted Fate | Teemo | Bard | Vex
Steadfast Heart,B,3.99,-0.15,15.7%,40453,14.9%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Hextech Gunblade,B,4.07,-0.14,15.3%,42036,15.5%,Teemo | Vex | Kindred | LeBlanc | Riven
Morellonomicon,B,4.20,-0.14,14.5%,47888,17.6%,Karma | Milio | Bard | Zoe | Lissandra
Blue Buff,B,4.22,-0.13,14.2%,46899,17.2%,Kai'Sa | Karma | Corki | Bard | Jhin
Titan's Resolve,B,4.25,-0.12,13.0%,43841,16.1%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Kraken's Fury,B,4.16,-0.11,14.1%,37116,13.7%,Kindred | Xayah | Bel'Veth | Caitlyn | Jhin
Nashor's Tooth,B,4.41,-0.11,13.3%,50669,18.6%,Lulu | Twisted Fate | Karma | Nami | Veigar
Dragon's Claw,C,4.28,-0.10,13.3%,37160,13.7%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Archangel's Staff,C,4.17,-0.08,14.5%,25290,9.3%,Karma | Bard | Aurelion Sol | Milio | Twisted Fate
Ionic Spark,C,4.21,-0.07,14.7%,25713,9.5%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Maokai
Tear of the Goddess,C,4.78,-0.01,9.6%,9572,3.5%,Karma | Maokai | Milio | Bard | Nunu & Willump
Needlessly Large Rod,C,4.84,-0.01,9.1%,10068,3.7%,Karma | Milio | Bard | Lissandra | Fizz
Chain Vest,C,4.83,-0.01,9.9%,8931,3.3%,Maokai | Mordekaiser | Illaoi | The Mighty Mech | Tahm Kench
Recurve Bow,C,4.86,-0.01,9.8%,10847,4.0%,Milio | Karma | Kindred | Jhin | Kai'Sa
Negatron Cloak,C,4.86,-0.00,10.1%,9651,3.5%,Illaoi | Maokai | Mordekaiser | The Mighty Mech | Tahm Kench
Giant's Belt,C,4.90,-0.00,9.7%,12391,4.6%,Maokai | Illaoi | Tahm Kench | Mordekaiser | The Mighty Mech
Sparring Gloves,C,4.85,-0.00,9.1%,7996,2.9%,Milio | Jhin | Kai'Sa | Karma | Urgot
B.F. Sword,C,4.98,-0.00,8.5%,8506,3.1%,Jhin | Kai'Sa | Riven | Urgot | Kindred
Frying Pan,D,6.54,+0.00,2.9%,35,0.0%,Kindred | Karma | Bard | Bel'Veth | Mordekaiser
Spatula,D,5.75,+0.23,6.5%,445,0.2%,Riven | Karma | Lissandra | Kai'Sa | Kindred
