Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.4%,266828,47.4%,Vex | Master Yi | Jhin | Corki | Graves
Protector's Vow,S,4.28,-0.33,14.9%,256068,45.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.37,-0.29,12.8%,255543,45.4%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.18,-0.28,15.0%,194786,34.6%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Jeweled Gauntlet,A,4.34,-0.26,14.3%,219554,39.0%,Aurelion Sol | Vex | Karma | Bard | Lulu
Adaptive Helm,A,4.14,-0.25,15.3%,166943,29.7%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Blitzcrank
Crownguard,A,4.17,-0.25,13.8%,169164,30.1%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Striker's Flail,A,4.18,-0.25,14.0%,170701,30.4%,Corki | Jhin | Aurelion Sol | Vex | Graves
Thief's Gloves,A,4.14,-0.25,16.2%,163350,29.0%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Deathblade,A,4.24,-0.23,12.5%,166768,29.7%,Corki | Jhin | Graves | Miss Fortune | Xayah
Spirit Visage,A,4.24,-0.22,13.9%,160277,28.5%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Sunfire Cape,A,4.36,-0.22,12.9%,191136,34.0%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.46,-0.22,14.9%,225228,40.1%,Vex | Kindred | Xayah | LeBlanc | Diana
Last Whisper,B,4.30,-0.20,11.1%,157017,27.9%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Spear of Shojin,B,4.25,-0.19,14.9%,143300,25.5%,Karma | Bard | Milio | Sona | Zed
Void Staff,B,4.17,-0.19,15.3%,128284,22.8%,Karma | Bard | Sona | Vex | Milio
Sterak's Gage,B,4.06,-0.19,14.6%,112820,20.1%,Riven | Fiora | The Mighty Mech | Graves | Nunu & Willump
Red Buff,B,4.16,-0.19,16.1%,124459,22.1%,Xayah | Vex | Milio | Kindred | Karma
Infinity Edge,B,4.23,-0.18,15.0%,131175,23.3%,Jhin | Kai'Sa | Xayah | Graves | Miss Fortune
Rabadon's Deathcap,B,4.08,-0.18,16.5%,108850,19.4%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Edge of Night,B,4.18,-0.17,14.3%,118683,21.1%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.95,-0.17,15.3%,90235,16.0%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.22,-0.16,14.0%,117762,20.9%,Karma | Milio | Bard | Sona | Blitzcrank
Bloodthirster,B,4.19,-0.16,13.8%,111490,19.8%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.93,-0.15,15.8%,78365,13.9%,Riven | Fiora | Blitzcrank | Gragas | Graves
Steadfast Heart,B,3.97,-0.14,15.4%,76151,13.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.18,-0.12,13.6%,83079,14.8%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.12,14.6%,85652,15.2%,Master Yi | Graves | Fiora | Riven | Urgot
Hextech Gunblade,B,4.06,-0.11,16.9%,65650,11.7%,Vex | Bard | Karma | Jhin | Riven
Blue Buff,B,4.14,-0.11,14.4%,69643,12.4%,Karma | Corki | Bard | Sona | Kai'Sa
Nashor's Tooth,B,4.32,-0.10,13.7%,85871,15.3%,Lulu | Lissandra | Karma | Nami | Milio
Kraken's Fury,C,4.32,-0.10,14.9%,82228,14.6%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Ionic Spark,C,4.06,-0.09,16.4%,55008,9.8%,Illaoi | Blitzcrank | Nunu & Willump | The Mighty Mech | Tahm Kench
Evenshroud,C,4.31,-0.09,12.5%,74651,13.3%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Titan's Resolve,C,4.27,-0.08,13.4%,63868,11.4%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,4.01,-0.07,15.9%,42673,7.6%,Bard | Karma | Aurelion Sol | Vex | Milio
Tear of the Goddess,C,4.73,-0.01,9.9%,20031,3.6%,Milio | Karma | Nunu & Willump | Bard | Blitzcrank
Giant's Belt,C,4.85,-0.01,10.0%,28278,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Tahm Kench
Negatron Cloak,C,4.79,-0.01,9.7%,20296,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.79,-0.01,9.7%,20236,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Needlessly Large Rod,C,4.83,-0.01,9.9%,20717,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Recurve Bow,C,4.87,-0.01,9.4%,23215,4.1%,Milio | Karma | Jhin | Bard | Sona
Sparring Gloves,C,4.83,-0.01,9.4%,17372,3.1%,Milio | Blitzcrank | Jhin | Karma | Bard
Frying Pan,D,5.62,+0.00,8.5%,82,0.0%,Maokai | Karma | Meepsie | Bard | Kindred
B.F. Sword,D,5.02,+0.00,8.8%,19454,3.5%,Jhin | Riven | Fiora | Kai'Sa | Milio
Spatula,D,5.59,+0.19,8.9%,854,0.2%,Karma | Riven | Milio | Kai'Sa | Bard
